sseqid	sseq_name
MZ835262.1	Fridericia seoraksani voucher 1044 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence
AC279399.1	Homo sapiens chromosome unknown clone VMRC73-225D09, complete sequence
HG995153.1	Pyrochroa serraticornis genome assembly, chromosome: 2
AC025522.7	Homo sapiens chromosome 8, clone RP11-599P7, complete sequence
KF912973.1	Uncultured bacterium clone Y1-18 16S ribosomal RNA gene, partial sequence
KF756552.1	Uncultured bacterium clone BB15 16S ribosomal RNA gene, partial sequence
K01106.1	Human 4.5S (C8) RNA
HQ993191.1	Nuchequula cf. mannusella MPD-2011 28S ribosomal RNA gene, partial sequence
NG_026175.2	Homo sapiens nitric oxide synthase 2, inducible pseudogene (LOC100420852) on chromosome 17
NR_120449.1	Homo sapiens TROAP and PRPH antisense RNA 1 (TROAP-AS1), long non-coding RNA
HQ103836.1	Uncultured Rhodocyclaceae bacterium clone F5OHPNU07HX2NK 16S ribosomal RNA gene, partial sequence
OU343098.1	Cervus elaphus genome assembly, chromosome: 21
CP051576.1	Zymoseptoria tritici strain WAI323 chromosome 7
GU923593.1	Uncultured bacterium clone F5K2Q4C04JHP02 23S ribosomal RNA gene, partial sequence
AC094507.9	Rattus norvegicus 1 BAC CH230-4E15 (Children's Hospital Oakland Research Institute) complete sequence
XR_006715495.1	PREDICTED: Leopardus geoffroyi 28S ribosomal RNA (LOC123604766), rRNA
OU342653.1	Chrysoteuchia culmella genome assembly, chromosome: 12
OL824847.1	Phytolacca dioica voucher ENC851185 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
AL353644.34	Human DNA sequence from clone RP11-164K15 on chromosome 22, complete sequence
NG_008674.1	Homo sapiens collagen type VI alpha 1 chain (COL6A1), RefSeqGene (LRG_475) on chromosome 21
AM502836.1	Felis catus partial 18S rRNA gene, clone C1C23.18
AC018989.15	Homo sapiens chromosome 17, clone RP11-273K13, complete sequence
KF083519.1	Uncultured bacterium clone ncd1142f11c1 16S ribosomal RNA gene, partial sequence
OL823163.1	Paecilomyces sp. strain FHG000529 small subunit ribosomal RNA gene, partial sequence
MN894798.1	Homo sapiens haplogroup L3f1b4a mitochondrion, complete genome
XR_005449845.1	PREDICTED: Tachyglossus aculeatus 5S ribosomal RNA (LOC119925918), rRNA
XM_006682189.1	Batrachochytrium dendrobatidis JAM81 uncharacterized protein (BATDEDRAFT_91878), partial mRNA
NR_130927.2	Homo sapiens matrix remodeling associated 7 (MXRA7), transcript variant 5, non-coding RNA
EU009458.2	Graphiopsis chlorocephala strain CPC 11969 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
KF465077.1	Uncultured Acidovorax sp. clone DVBSD_M83 16S ribosomal RNA gene, partial sequence
CP002252.1	Methylovorus sp. MP688, complete genome
XR_005647714.1	PREDICTED: Pteropus giganteus 28S ribosomal RNA (LOC120583086), rRNA
CP083931.1	Alysiella filiformis DSM 16848 chromosome, complete genome
XR_006219384.1	PREDICTED: Panthera tigris U1 spliceosomal RNA (LOC122240001), ncRNA
NM_001284284.1	Homo sapiens VOPP1 WW domain binding protein (VOPP1), transcript variant 4, mRNA
MT797235.1	Kamakonocoris carinata voucher UCR_ENT 00088114 large subunit ribosomal RNA gene, partial sequence
AC254825.1	Homo sapiens chromosome 17 clone CH17-157L1, complete sequence
FJ209305.1	Homo sapiens MALAT1 mRNA, complete sequence
MT989363.1	Homo sapiens isolate LC110910262 MHC class I antigen (HLA-B) gene, HLA-B-B*40 allele, complete cds
KC557331.1	Uncultured fungus clone NTS_28S_004E_2_b5 28S ribosomal RNA gene, partial sequence
KF360477.1	Xylographa trunciseda isolate R. Haugan al2804c2 28S large subunit ribosomal RNA gene, partial sequence
NR_075118.1	Caulobacter crescentus CB15 strain CB15 5S ribosomal RNA, complete sequence
JN196391.1	Uncultured bacterium clone CB37d04 16S ribosomal RNA gene, partial sequence
LR962878.1	Bos taurus genome assembly, chromosome: 22
KF090852.1	Uncultured bacterium clone nck140b07c1 16S ribosomal RNA gene, partial sequence
MT985503.1	Pan troglodytes clone CH251_contig sequence, complete sequence
MW854638.1	Mendogia diffusa voucher MFLU 20-0541 small subunit ribosomal RNA gene, partial sequence
GU928690.1	Uncultured eukaryote clone F5K2Q4C04IMAA4 28S ribosomal RNA gene, partial sequence
XR_006147557.1	PREDICTED: Dipodomys spectabilis 28S ribosomal RNA (LOC122108383), rRNA
KJ645593.1	Uncultured bacterium clone B583 16S ribosomal RNA gene, partial sequence
MW377916.1	Lepidospora maceveyi voucher gbs006145 28S ribosomal RNA gene, partial sequence
LR991649.1	Trachurus trachurus genome assembly, chromosome: 23
GU924126.1	Uncultured bacterium clone F5K2Q4C04H5WHI 23S ribosomal RNA gene, partial sequence
XR_006145959.1	PREDICTED: Dipodomys spectabilis 28S ribosomal RNA (LOC122099569), rRNA
NR_040582.2	Homo sapiens STAG3 cohesin complex component like 3 (pseudogene) (STAG3L3), non-coding RNA
AP012551.1	Plautia stali symbiont DNA, complete genome
KC352325.1	Uncultured bacterium clone H8 16S ribosomal RNA gene, partial sequence
AC253556.1	Homo sapiens FOSMID clone ABC7-42500200B6 from chromosome unknown, complete sequence
CP041731.1	Paenibacillus kribbensis strain PS04 chromosome, complete genome
AC084116.7	Homo sapiens chromosome 8, clone RP11-103H7, complete sequence
MT473769.1	Isodon ternifolius chloroplast, complete genome
XR_005966464.1	PREDICTED: Xenopus laevis 28S ribosomal RNA (LOC121401723), rRNA
OL826790.1	Alternaria alternata isolate HJY small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
OL662846.1	Acinetobacter sp. strain ST10M 16S ribosomal RNA gene, partial sequence
NG_012095.2	Homo sapiens kallikrein B1 (KLKB1), RefSeqGene (LRG_565) on chromosome 4
AC009994.10	Homo sapiens chromosome 17, clone RP11-87N3, complete sequence
NR_121980.1	Bordetella holmesii strain ATCC 51541 23S ribosomal RNA gene, complete sequence
AC005363.1	Homo sapiens chromosome 16, P1 clone 47-2H (LANL), complete sequence
JQ085820.1	Uncultured bacterium W4-87b genomic sequence
KF310033.1	Dothideomycetes sp. CCFEE 5409 28S ribosomal RNA gene, partial sequence
OL679813.1	Flavobacterium sp. strain SB110 16S ribosomal RNA gene, partial sequence
XM_005539640.3	PREDICTED: Macaca fascicularis centrosomal protein 170 (CEP170), transcript variant X12, mRNA
AC280218.1	Homo sapiens chromosome unknown clone VMRC62-26K15, complete sequence
OL673799.1	Acinetobacter courvalinii strain EU.4BS2 16S ribosomal RNA gene, partial sequence
KF803982.1	Uncultured organism clone QHS-560-3 23S ribosomal RNA gene, partial sequence
JN145743.1	Uncultured eukaryote clone NZCS-159 18S ribosomal RNA gene, partial sequence
FJ719703.1	Strombomonas triquetra strain S604 16S ribosomal RNA gene, partial sequence; chloroplast
AC237104.4	Homo sapiens FOSMID clone ABC12-46974400G23 from chromosome unknown, complete sequence
BC018940.1	Homo sapiens, clone IMAGE:4126047, mRNA
XM_045361174.1	PREDICTED: Macaca fascicularis phosphatase and tensin homolog (PTEN), transcript variant X1, mRNA
FN296150.1	Chromohalobacter salarius 23S rRNA gene, type strain CECT 5903T
GU925900.1	Uncultured bacterium clone F5K2Q4C04J453J 23S ribosomal RNA gene, partial sequence
CP064782.1	Azospira inquinata strain Azo-3 chromosome, complete genome
OU862933.1	Limnephilus marmoratus genome assembly, chromosome: 27
CP069534.1	Corynebacterium glucuronolyticum strain FDAARGOS_1191 chromosome, complete genome
KF857174.1	Coniochaeta fodinicola strain BS 26S ribosomal RNA gene, partial sequence
XM_007988476.2	PREDICTED: Chlorocebus sabaeus ribosomal protein S6 kinase C1 (RPS6KC1), transcript variant X12, mRNA
NG_045000.6	Homo sapiens maternally expressed 8, small nucleolar RNA host gene (MEG8), RefSeqGene (LRG_1058) on chromosome 14
JQ387531.2	Uncultured bacterium clone NT61g5_14479 16S ribosomal RNA gene, partial sequence
XM_045390181.1	PREDICTED: Macaca fascicularis tenascin-X (LOC102131497), transcript variant X12, mRNA
KC674674.1	Uncultured fungus clone nco87e03c1 18S ribosomal RNA gene, partial sequence
HQ121200.1	Uncultured bacterium isolate 1112863845239 16S ribosomal RNA gene, partial sequence
XR_005854583.1	PREDICTED: Gallus gallus 28S ribosomal RNA (LOC121111887), rRNA
AC068533.7	Homo sapiens PAC clone RP5-1132H15 from 7, complete sequence
XR_006610546.1	PREDICTED: Hordeum vulgare subsp. vulgare 28S ribosomal RNA (LOC123400257), rRNA
NG_024150.3	Homo sapiens integrin subunit beta 1 pseudogene 1 (ITGB1P1) on chromosome 19
JX856550.1	Erythrostemon gilliesii isolate 170 5.8S ribosomal RNA gene and internal transcribed spacer 2, partial sequence
LR979036.1	uncultured bacterium partial 16S rRNA gene
XR_005492108.1	PREDICTED: Rattus norvegicus 5S ribosomal RNA (LOC120096019), rRNA
NR_076645.1	Corynebacterium kroppenstedtii strain DSM 44385 23S ribosomal RNA gene, complete sequence
AF389272.1	Sabia swinhoei 26S ribosomal RNA gene, partial sequence
NR_125434.1	Homo sapiens uncharacterized LOC100505915 (LOC100505915), long non-coding RNA
XR_006402673.1	PREDICTED: Thunnus albacares 5S ribosomal RNA (LOC122978516), rRNA
NR_131012.1	Homo sapiens nuclear paraspeckle assembly transcript 1 (NEAT1), transcript variant MENbeta, long non-coding RNA
CP086060.1	Paracidovorax citrulli strain HPP21-9-4B chromosome, complete genome
NG_012144.1	Homo sapiens RAD54 like (RAD54L), RefSeqGene (LRG_1414) on chromosome 1
NG_013210.1	Homo sapiens aspartate beta-hydroxylase (ASPH), RefSeqGene on chromosome 8
XR_006151394.1	PREDICTED: Dipodomys spectabilis 18S ribosomal RNA (LOC122128254), rRNA
EF525330.1	Euglena sp. MI67 large subunit ribosomal RNA gene, partial sequence; plastid
XR_006700102.1	PREDICTED: Macaca fascicularis small nucleolar RNA SNORD116 (LOC123574919), ncRNA
MF585026.1	Uncultured bacterium clone B1289 16S ribosomal RNA gene, partial sequence
JF277880.1	Uncultured freshwater bacterium clone 43BS 16S ribosomal RNA gene, partial sequence
HG818362.1	Uncultured bacterium partial 16S rRNA gene, clone EBP1039
AB781436.1	Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: NAG-P3-6
XR_006345627.1	PREDICTED: Cervus elaphus 5S ribosomal RNA (LOC122709638), rRNA
KC670641.1	Uncultured fungus clone nco38d03c1 18S ribosomal RNA gene, partial sequence
XM_043462372.1	PREDICTED: Cervus canadensis basic salivary proline-rich protein 4-like (LOC122437895), mRNA
JQ684119.1	Uncultured Acidovorax sp. clone Set 2-8 16S ribosomal RNA gene, partial sequence
OL639010.1	Uncultured bacterium clone PS_Site2_3_LRC-1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
KJ530980.1	Rhodotorula sp. 'maule' strain C6 18S ribosomal RNA gene and internal transcribed spacer 1, partial sequence
XM_045373043.1	PREDICTED: Macaca fascicularis heterogeneous nuclear ribonucleoprotein K (HNRNPK), transcript variant X4, mRNA
CP085939.1	Streptococcus anginosus subsp. anginosus strain FDAARGOS_1569 chromosome, complete genome
XR_006715521.1	PREDICTED: Leopardus geoffroyi 5.8S ribosomal RNA (LOC123604804), rRNA
CP059565.1	Neisseria wadsworthii strain DSM 22245 chromosome, complete genome
KJ725202.1	Cladosporium bruhnei strain SC 18S ribosomal RNA gene, partial sequence
AC124312.5	Homo sapiens chromosome 15, clone RP11-701H24, complete sequence
AC246974.1	Homo sapiens FOSMID clone ABC24-1269K18 from chromosome 1, complete sequence
JN391730.1	Uncultured bacterium clone Q7321-HYBA 16S ribosomal RNA gene, partial sequence
AC239394.3	Homo sapiens FOSMID clone ABC27-2262H6 from chromosome 8, complete sequence
JX043447.1	Uncultured fungus clone C2_EE5 28S ribosomal RNA gene, partial sequence
MW884986.1	Pseudomonadota bacterium strain IMCC30102 16S ribosomal RNA gene, partial sequence
AF289037.1	Guillardia theta 28S ribosomal RNA gene, complete sequence
CP054635.1	Exserohilum turcica Et28A chromosome 9
AC241978.2	Homo sapiens FOSMID clone WI2-2363B13 from chromosome 7, complete sequence
HM535137.1	Uncultured bacterium clone Juncus06C 16S ribosomal RNA gene, partial sequence
GU924884.1	Uncultured bacterium clone F5K2Q4C04H695U 23S ribosomal RNA gene, partial sequence
AL832781.1	Homo sapiens genomic DNA; cDNA DKFZp686L057 (from clone DKFZp686L057)
KF464713.1	Uncultured Acidovorax sp. clone DVBSD_D61 16S ribosomal RNA gene, partial sequence
CP050293.1	Mesorhizobium loti strain 582 chromosome, complete genome
CP087598.1	Paracoccus sp. MA chromosome 2, complete sequence
GU214615.1	Teratosphaeria epicoccoides strain CPC 11279 from Bolivia 18S small subunit ribosomal RNA gene, partial sequence
KF543865.1	Rhodotorula sp. GM5 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence
CP087156.1	Roseibium aggregatum strain LZB033 chromosome, complete genome
CP000116.1	Thiobacillus denitrificans ATCC 25259, complete genome
XR_006268791.1	PREDICTED: Cervus canadensis 28S ribosomal RNA (LOC122439053), rRNA
CP089128.1	Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XII
AK299329.1	Homo sapiens cDNA FLJ54492 complete cds, highly similar to Eukaryotic translation initiation factor 4B
AL390716.27	Human DNA sequence from clone RP11-314P12 on chromosome 10 Contains the PPYR1 gene for Pancreatic polypeptide receptor 1, a novel gene, part of a novel gene and a heterogeneous nuclear ribonucleoprotein A1 (HNRPA1) pseudogene, complete sequence
XR_004935279.1	PREDICTED: Mus musculus 5S ribosomal RNA (n-R5s102), rRNA
JQ455666.1	Uncultured bacterium clone 069099_304 16S ribosomal RNA gene, partial sequence
CP068292.1	Corynebacterium macginleyi strain 160811 chromosome, complete genome
AC090868.4	Homo sapiens chromosome 15, clone RP11-795G3, complete sequence
XR_004914042.1	PREDICTED: Halichoerus grypus 18S ribosomal RNA (LOC118529299), rRNA
CP032406.1	Rhizobium rosettiformans strain MAE2-X plasmid p1, complete sequence
EF177381.1	Homo sapiens nuclear enriched abundant transcript 2 (NEAT2) mRNA, complete sequence
CP069121.1	Histoplasma capsulatum G186AR chromosome 5
CP000316.1	Polaromonas sp. JS666, complete genome
JQ704440.1	Homo sapiens clone 5228 mitochondrion, complete genome
AC137794.2	Homo sapiens chromosome 5 clone RP11-434D11, complete sequence
CP059987.1	Protaetiibacter sp. SSC-01 chromosome, complete genome
HG992977.1	Pyrenophora teres f. teres isolate W1-1 genome assembly, chromosome: 1
AC280230.1	Pan troglodytes chromosome unknown clone CH251-106K24, complete sequence
DQ431198.1	Homo sapiens interleukin 9 receptor (IL9Rps) pseudogene, complete sequence; and DNA-directed RNA polymerases III 12.5 kDa polypeptide (POLR3K), U11/U12 snRNP 25 kDa protein (C16orf33), RHBDG1 (C16orf8), DNA-3-methyladenine glycosylase (MPG), -14 gene protein (C16orf35), hemoglobin zeta subunit (HBZ), HBD (HBD), alpha globin (HBA2), alpha globin (HBA1), theta globin (HBQ1), and putative RNA-binding protein Luc7-like 1 (LUC7L) genes, complete cds
KF064555.1	Uncultured bacterium clone nbu491d10c1 16S ribosomal RNA gene, partial sequence
XR_004996860.1	PREDICTED: Ochotona princeps U1 spliceosomal RNA (LOC118760558), ncRNA
AC245878.2	Homo sapiens BAC clone CH17-469H15 from chromosome 1, complete sequence
MT989362.1	Homo sapiens isolate LC110542672 MHC class I antigen (HLA-A) gene, HLA-A-A*11 allele, complete cds
LC656623.1	Sideroxyarcus emersonii MIZ01 gene for 16S ribosomal RNA
BC011018.1	Homo sapiens zinc finger, AN1-type domain 5, mRNA (cDNA clone MGC:13526 IMAGE:4331933), complete cds
AC223424.2	Homo sapiens FOSMID clone ABC12-46658900C12 from chromosome unknown, complete sequence
OL639003.1	Uncultured bacterium clone Microplastics_LRC_2 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
AC005682.2	Homo sapiens BAC clone RP11-84K19 from 7, complete sequence
KJ905900.1	Synthetic construct Homo sapiens clone ccsbBroadEn_15570 RPL6 gene, encodes complete protein
KF452287.1	Uncultured Thauera sp. isolate DGGE band 3 16S ribosomal RNA gene, partial sequence
KJ508342.1	Ascomycota sp. genotype 956 JMUR-2014 isolate ML0146 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
OL639007.1	Uncultured bacterium clone PET_Site1_LRC_1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
KF625688.1	Pyropterus nigroruber voucher UPOL 001277 18S ribosomal RNA gene, partial sequence
XR_005647368.1	PREDICTED: Pteropus giganteus 5S ribosomal RNA (LOC120581670), rRNA
HE798385.1	Achromobacter xylosoxidans NH44784-1996 complete genome
XR_006700928.1	Blastomyces dermatitidis ER-3 28S ribosomal RNA (BDCG_18022), rRNA
CP061317.1	Polynucleobacter sp. AP-Elch-400A-B2 chromosome
XR_003110012.2	PREDICTED: Bubalus bubalis uncharacterized LOC112585570 (LOC112585570), ncRNA
KJ489919.1	Uncultured bacterium clone leachfield16Sseq030 16S ribosomal RNA gene, partial sequence
LK013865.1	TPA: Psychrobacter cryohalolentis K5 tRNA-Glu-TTC-1-1 gene
AP025193.1	Comamonas thiooxydans NR4028 DNA, complete genome
GU926248.1	Uncultured bacterium clone F5K2Q4C04JGGDU 23S ribosomal RNA gene, partial sequence
CP001848.1	Pirellula staleyi DSM 6068 chromosome, complete genome
NM_001164754.2	Homo sapiens aspartate beta-hydroxylase (ASPH), transcript variant 10, mRNA
OU343102.1	Cervus elaphus genome assembly, chromosome: 25
MZ286339.1	Gymnothorax undulatus voucher USNM:FISH:442319 small subunit ribosomal RNA gene, internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and large subunit ribosomal RNA gene, complete sequence
KJ185969.1	Homo sapiens isolate ZAM039 mitochondrion, complete genome
KJ707424.1	Uncultured bacterium clone QKAB3ZG101 16S ribosomal RNA gene, partial sequence
HM595589.1	Elsinoaceae sp. ZLY-2010b isolate M123 internal transcribed spacer 2 and 28S ribosomal RNA gene, partial sequence
GU925462.1	Uncultured bacterium clone F5K2Q4C04ITKCA 23S ribosomal RNA gene, partial sequence
CP066810.1	Shigella sonnei strain 893916 chromosome, complete genome
LR966171.1	uncultured Betaproteobacteria partial 16S rRNA gene
JN992274.1	Trichouropoda tegucigalpae voucher 118_AC053 28S ribosomal RNA gene, partial sequence
CP074137.1	Serratia sp. JSRIV006 chromosome, complete genome
KJ612999.1	Uncultured bacterium clone 1-7-12-205 16S ribosomal RNA gene, partial sequence
OU964924.1	Aplidium turbinatum genome assembly, chromosome: 7
OU941058.1	uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus02352
XR_005966466.1	PREDICTED: Xenopus laevis 28S ribosomal RNA (LOC121401725), rRNA
XR_004975152.1	PREDICTED: Myotis myotis 5S ribosomal RNA (LOC118679159), rRNA
XM_045384110.1	PREDICTED: Macaca fascicularis zinc finger protein X-linked (ZFX), transcript variant X9, mRNA
BC041177.1	Homo sapiens CXYorf1-related protein, mRNA (cDNA clone IMAGE:6042646), partial cds
CP043653.1	Glaciihabitans sp. INWT7 chromosome, complete genome
7BHP_L5	Chain L5, 28S ribosomal RNA
CP088964.1	Brucella anthropi strain T210003 chromosome 1, complete sequence
OV277460.1	Meles meles genome assembly, chromosome: 19
AC140479.3	Homo sapiens BAC clone RP11-1223D19 from 2, complete sequence
AY130226.2	Lepocinclis acus var. major strain UTEX 1316 voucher University of Texas Culture Collection (UTEX) 1316 large subunit ribosomal RNA gene, partial sequence
AL157912.5	Human chromosome 14 DNA sequence BAC C-2376I20 of library CalTech-D from chromosome 14 of Homo sapiens (Human), complete sequence
AC245434.3	Homo sapiens BAC clone CH17-340H12 from chromosome 3, complete sequence
AC244024.3	Homo sapiens BAC clone CH17-67D14 from chromosome 1, complete sequence
GU927655.1	Uncultured eukaryote clone F5K2Q4C04JJDOT 28S ribosomal RNA gene, partial sequence
AC279461.1	Homo sapiens chromosome unknown clone VMRC59-235E04, complete sequence
XR_006700919.1	Blastomyces dermatitidis ER-3 28S ribosomal RNA (BDCG_18010), rRNA
AC197932.3	MACACA MULATTA BAC clone CH250-409I7 from chromosome 1, complete sequence
GU926617.1	Uncultured bacterium clone F5K2Q4C04JG70U 23S ribosomal RNA gene, partial sequence
CP087586.1	Chromobacterium haemolyticum strain WI5 chromosome, complete genome
AP005854.3	Homo sapiens genomic DNA, chromosome 8q24, clone: KB1063B1, complete sequence
HQ090409.1	Uncultured Comamonas sp. clone F5OHPNU07IAWUE 16S ribosomal RNA gene, partial sequence
NR_075385.1	Psychrobacter cryohalolentis K5 strain K5 5S ribosomal RNA, complete sequence
XR_005973936.1	PREDICTED: Microtus oregoni 18S ribosomal RNA (LOC121445473), rRNA
KF927526.1	Uncultured bacterium clone MD102 16S ribosomal RNA gene, partial sequence
AC237041.3	Homo sapiens FOSMID clone ABC10-44451300O22 from chromosome unknown, complete sequence
XM_045361233.1	PREDICTED: Macaca fascicularis interferon stimulated exonuclease gene 20 like 2 (ISG20L2), transcript variant X3, mRNA
XR_005556532.1	PREDICTED: Crotalus tigris 5S ribosomal RNA (LOC120307424), rRNA
OL797994.1	Acinetobacter sp. strain NS-19 16S ribosomal RNA gene, partial sequence
OL597915.1	Acidovorax facilis strain WHW-1 16S ribosomal RNA gene, partial sequence
LK392454.1	Uncultured Hydrogenophaga sp. partial 16S rRNA gene, clone E2 zBg3-11 f
HM327509.1	Uncultured bacterium clone ncd476e10c1 16S ribosomal RNA gene, partial sequence
OL677209.1	Tsuneonella troitsensis strain 21SJ02S-50 16S ribosomal RNA gene, partial sequence
HG995203.1	Bombus hortorum genome assembly, chromosome: 16
NG_029012.1	Homo sapiens integrin subunit beta 1 (ITGB1), RefSeqGene on chromosome 10
JN807317.2	Dunaliella sp. MBTD-CMFRI-S121 18S ribosomal RNA gene, partial sequence
XR_006156063.1	PREDICTED: Cyprinus carpio 5S ribosomal RNA (LOC122139188), rRNA
FO538757.3	Human DNA sequence from clone ABC7-43046700E7 on chromosome 1, complete sequence
MZ326836.1	Dactylospora sp. voucher F. Feitz 2016-03-12 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
XM_045392593.1	PREDICTED: Macaca fascicularis thymosin beta-4 (LOC102127641), mRNA
HQ026771.1	Salpingoeca sp. ATCC BSE-01190019 28S large subunit ribosomal RNA gene, partial sequence
KC462722.1	Uncultured bacterium clone X405_04 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence
BC106053.1	Homo sapiens MAP7 domain containing 1, mRNA (cDNA clone MGC:117315 IMAGE:6514558), complete cds
XR_006506072.1	PREDICTED: Gracilinanus agilis uncharacterized LOC123244236 (LOC123244236), ncRNA
NR_076848.1	Fluviicola taffensis strain RW262 23S ribosomal RNA gene, complete sequence
FN543107.1	Curvibacter putative symbiont of Hydra magnipapillata genomic scaffold HmaUn_WGA71069_1
KJ527013.1	Cladosporium sp. HT-Z1-V 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence
KJ707447.1	Uncultured bacterium clone QKAB4ZB021 16S ribosomal RNA gene, partial sequence
CP088955.1	Acinetobacter calcoaceticus strain ARu19 chromosome, complete genome
MW915409.1	Rhodotorula mucilaginosa strain P45 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence
XR_006701964.1	PREDICTED: Leopardus geoffroyi 5S ribosomal RNA (LOC123577611), rRNA
