sseqid	sseq_name
KMG76845.1	hypothetical protein SM55_04735, partial [Klebsiella pneumoniae]
AAY51665.1	unknown, partial [Pongo pygmaeus]
WP_121042220.1	MULTISPECIES: oxygen-independent coproporphyrinogen III oxidase [Herbaspirillum]
CAR86710.1	Conserved protein [Lacticaseibacillus rhamnosus GG]
XP_034817484.1	histone H2A type 1-H isoform X2 [Pan paniscus]
CCG06602.1	Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]
PLB42919.1	hypothetical protein P170DRAFT_487033, partial [Aspergillus steynii IBT 23096]
EQX91442.1	hypothetical protein G939_04501, partial [Escherichia coli UMEA 3201-1]
CBA31934.1	hypothetical protein Csp_D29600 [Curvibacter putative symbiont of Hydra magnipapillata]
XP_025393855.1	uncharacterized protein BO70DRAFT_406390, partial [Aspergillus heteromorphus CBS 117.55]
EHI55791.1	hypothetical protein HMPREF9333_01138, partial [Johnsonella ignava ATCC 51276]
GKI47675.1	hypothetical protein NUBL13784_53450 [Klebsiella pneumoniae]
CCG20003.1	conserved hypothetical protein [Taylorella asinigenitalis 14/45]
ENV14127.1	hypothetical protein F965_00687, partial [Acinetobacter schindleri NIPH 900]
DAA04671.1	TPA_inf: olfactory receptor OR6-12 [Homo sapiens]
KKT16220.1	MAG: hypothetical protein UV99_C0020G0014, partial [Parcubacteria group bacterium GW2011_GWC1_43_61]
CBA31938.1	hypothetical protein Csp_D29620 [Curvibacter putative symbiont of Hydra magnipapillata]
CAG8514542.1	10790_t:CDS:1, partial [Dentiscutata heterogama]
KAF1852558.1	hypothetical protein Lal_00037292 [Lupinus albus]
KAF1858272.1	hypothetical protein Lal_00014773 [Lupinus albus]
EMC20215.1	hypothetical protein SMU82_09837, partial [Streptococcus mutans SM6]
EFX63806.1	hypothetical protein DAPPUDRAFT_267663 [Daphnia pulex]
CAH0993434.1	hypothetical protein SIN8267_03584 [Sinobacterium norvegicum]
KAF1855283.1	hypothetical protein Lal_00044982 [Lupinus albus]
WP_209583689.1	oxygen-independent coproporphyrinogen III oxidase [Herbaspirillum sp. WGmk3]
OUG05932.1	hypothetical protein AZ041_004007, partial [Escherichia coli]
KAB7296036.1	hypothetical protein GBB87_10690, partial [Bifidobacterium longum]
WP_256157415.1	No_Species
GKX45246.1	hypothetical protein SOASR015_42800 [Pectobacterium carotovorum subsp. carotovorum]
SAC97892.1	Uncharacterised protein [Enterobacter cloacae]
WP_164238372.1	50S ribosomal protein L7/L12 [Weissella cibaria]
CUI05916.1	hypothetical protein BN2497_6609 [Janthinobacterium sp. CG23_2]
AGC71899.1	ribokinase [uncultured bacterium A1Q1_fos_4]
KAH0656880.1	hypothetical protein KY285_031762 [Solanum tuberosum]
EHN98755.1	hypothetical protein ESOG_03735, partial [Escherichia coli E101]
WP_163169077.1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [Acinetobacter schindleri]
EHI39040.1	LOW QUALITY PROTEIN: cell wall-associated hydrolase, partial [Rhodococcus opacus PD630]
ABZ84885.1	hypothetical protein HM1_3125 [Heliomicrobium modesticaldum Ice1]
EFG00472.1	conserved hypothetical protein [Listeria monocytogenes J2818]
KAF1857599.1	hypothetical protein Lal_00014609 [Lupinus albus]
EDN76676.1	hypothetical protein RUMGNA_02973 [[Ruminococcus] gnavus ATCC 29149]
EFJ63628.1	hypothetical protein HMPREF9553_00243, partial [Escherichia coli MS 200-1]
CAG7733994.1	unnamed protein product [Allacma fusca]
SPA51333.1	protein of unknown function [Cupriavidus taiwanensis]
KAF8046237.1	hypothetical protein N665_3923s0001, partial [Sinapis alba]
WP_099062708.1	anti-sigma-E factor RseA [Serratia sp. BW106]
AGC71893.1	hypothetical protein [uncultured bacterium A1Q1_fos_4]
CAG9204546.1	hypothetical protein BCAR13_1520040 [Paraburkholderia caribensis]
PIR58785.1	MAG: hypothetical protein COU69_03675 [Candidatus Pacebacteria bacterium CG10_big_fil_rev_8_21_14_0_10_56_10]
KDQ71571.1	hypothetical protein L798_09058 [Zootermopsis nevadensis]
WP_049124644.1	AAA family ATPase, partial [Burkholderia cenocepacia]
CAR86202.1	Conserved protein [Lacticaseibacillus rhamnosus GG]
WP_225305950.1	hypothetical protein [Staphylococcus aureus]
XP_002490894.1	uncharacterized protein PAS_chr2-1_0015 [Komagataella phaffii GS115]
POO72353.1	hypothetical protein C1T28_20855 [Bacillus subtilis]
EZU73576.1	hypothetical protein U991_01373, partial [Staphylococcus aureus 1111100370]
CCK89123.1	hypothetical protein BN163_2190001 [Clostridioides difficile T5]
WP_234644555.1	hypothetical protein, partial [Hafnia paralvei]
CDG40809.1	hypothetical protein ASAP_2764 [Asaia bogorensis]
MBS4163025.1	No_Species
AKJ28484.1	hypothetical protein AAW51_1793 [Caldimonas brevitalea]
WP_194271134.1	PEP-CTERM system TPR-repeat protein PrsT [Zoogloea sp. 1C4]
SOZ15688.1	hypothetical protein CBM2604_A60090 [Cupriavidus taiwanensis]
ABM53543.1	conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578]
MCG4787739.1	No_Species
WP_225240624.1	hypothetical protein, partial [Massilia oculi]
ELY20073.1	hypothetical protein HALTITAN_3298 [Halomonas titanicae BH1]
EIA02680.1	hypothetical protein SPAR152_0001 [Streptococcus pneumoniae England14-9]
KAF4513757.1	hypothetical protein B566_EDAN011677 [Ephemera danica]
EJH45206.1	cell wall-associated hydrolase [Vibrio cholerae CP1046(19)]
CAP51384.1	hypothetical protein XCCB100_2031 [Xanthomonas campestris pv. campestris]
KAG1486771.1	hypothetical protein G6F54_013100 [Rhizopus delemar]
KAF1855845.1	hypothetical protein Lal_00001021 [Lupinus albus]
ABM53548.1	conserved hypothetical protein [uncultured beta proteobacterium CBNPD1 BAC clone 578]
WP_207743785.1	hypothetical protein, partial [Ruminococcus sp. 1001262B_160229_C12]
CDW90691.1	UNKNOWN [Stylonychia lemnae]
KGA89257.1	hypothetical protein DR94_3665 [Proteus mirabilis]
BAO87435.1	putative membrane protein [Burkholderia sp. RPE67]
VWX60559.1	conserved hypothetical protein [Burkholderiales bacterium 8X]
GED93437.1	hypothetical protein LBSG162_25420 [Lentilactobacillus buchneri subsp. silagei]
GAC46679.1	conserved domain protein [Pediococcus acidilactici NGRI 0510Q]
KIP17398.1	hypothetical protein KY49_7050 [Burkholderia sp. MSHR3999]
EFJ62681.1	hypothetical protein HMPREF9553_01204 [Escherichia coli MS 200-1]
KAF1856004.1	hypothetical protein Lal_00001514 [Lupinus albus]
ACT56965.1	hypothetical protein CLIBASIA_01895 [Candidatus Liberibacter asiaticus str. psy62]
AKJ43710.1	identified by metageneannotator [Pragia fontium]
CCG06584.1	unnamed protein product, partial [Pararhodospirillum photometricum DSM 122]
ERO39491.1	hypothetical protein LPLWJ_34070 [Lactiplantibacillus plantarum WJL]
OUG44139.1	hypothetical protein AZ037_005356, partial [Klebsiella michiganensis]
ABU75947.1	hypothetical protein ESA_00667 [Cronobacter sakazakii ATCC BAA-894]
ERO39489.1	hypothetical protein LPLWJ_34090 [Lactiplantibacillus plantarum WJL]
CWO88136.1	Cell wall-associated hydrolase [Neisseria meningitidis]
MCB8829659.1	No_Species
EDM52654.1	hypothetical protein EUBVEN_00032 [Eubacterium ventriosum ATCC 27560]
KAF0786155.1	hypothetical protein L243_10600, partial [Salmonella enterica subsp. enterica serovar Worthington str. BCH-3008]
ABU75356.1	hypothetical protein ESA_00050 [Cronobacter sakazakii ATCC BAA-894]
SDK62063.1	hypothetical protein SAMN05216468_1228 [Bifidobacterium breve]
PRN14452.1	hypothetical protein B9W54_02955 [Acinetobacter baumannii]
KAF1858519.1	hypothetical protein Lal_00015036 [Lupinus albus]
SEI00787.1	conserved hypothetical protein [Bathymodiolus azoricus thioautotrophic gill symbiont]
KYG41626.1	hypothetical protein M433DRAFT_75466 [Acidomyces richmondensis BFW]
PKY59579.1	hypothetical protein RhiirA4_364035, partial [Rhizophagus irregularis]
OKU54858.1	hypothetical protein ACN86_01675 [Escherichia coli]
KEJ23865.1	hypothetical protein AB03_3268 [Escherichia coli 2-316-03_S1_C1]
GGX37646.1	hypothetical protein GCM10007242_51510 [Pigmentiphaga litoralis]
GAO57196.1	hypothetical protein BAN44_0141 [Bacillus anthracis]
PNH22229.1	hypothetical protein CAL30_01125 [Megasphaera genomosp. type_2]
KOT11881.1	hypothetical protein DM77_3244 [Burkholderia mallei]
BBG07348.1	hypothetical protein JMUB1273_0487 [Staphylococcus aureus]
PQJ50522.1	hypothetical protein BTO12_11225, partial [Vibrio splendidus]
TDG88024.1	hypothetical protein C5L26_000508 [Lacticaseibacillus paracasei subsp. paracasei]
PEH08285.1	hypothetical protein CP354_04330 [Lactobacillus sp. UMNPBX3]
SMX61072.1	protein of unknown function [Bradyrhizobium sp. ORS 285]
GGN67712.1	hypothetical protein GCM10007971_38770 [Oceanobacillus indicireducens]
OYD80028.1	hypothetical protein CHT98_33420, partial [Azospirillum brasilense]
GEP75675.1	hypothetical protein WTH01_19220 [Weissella thailandensis]
ACN31557.1	unknown [Zea mays]
MCD9645951.1	No_Species
EEB35922.1	hypothetical protein ANHYDRO_01275, partial [Anaerococcus hydrogenalis DSM 7454]
CBA31926.1	hypothetical protein Csp_D29560 [Curvibacter putative symbiont of Hydra magnipapillata]
ADI18616.1	hypothetical protein [uncultured Rhodospirillales bacterium HF4000_24M03]
AGH49458.1	No_Species
KFA45284.1	hypothetical protein EW35_3253 [Staphylococcus aureus]
EJB90947.1	hypothetical protein HPHPH21_1619 [Helicobacter pylori Hp H-21]
ABE08379.1	hypothetical protein UTI89_C2923 [Escherichia coli UTI89]
OUI00215.1	hypothetical protein AZZ69_000216, partial [Klebsiella pneumoniae]
KAF1858500.1	hypothetical protein Lal_00015017 [Lupinus albus]
EYA21976.1	putative oRF58e [Bacteroides fragilis str. 1007-1-F #3]
WP_239236448.1	MULTISPECIES: 50S ribosomal protein L7/L12 [Corynebacterium]
CDW93818.1	conserved hypothetical protein [Thiomonas sp. CB2]
QND95149.1	Lon protease [Burkholderia cenocepacia]
KGD56284.1	hypothetical protein DP49_2425 [Burkholderia pseudomallei]
AAX66567.1	hypothetical protein SCH_2661 [Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67]
GGE93095.1	hypothetical protein GCM10008020_42620 [Massilia psychrophila]
SOY57463.1	hypothetical protein CBM2587_A90042 [Cupriavidus taiwanensis]
KOT11876.1	putative serine acetyltransferase [Burkholderia mallei]
EEY88219.1	hypothetical protein HMPREF0018_00966 [Acinetobacter radioresistens SH164]
KAF1853218.1	hypothetical protein Lal_00009579 [Lupinus albus]
SVW46214.1	Uncharacterised protein [Klebsiella pneumoniae]
CDW93816.1	conserved hypothetical protein [Thiomonas sp. CB2]
TEX44535.1	MAG: hypothetical protein CFR70_13740 [Rhodocyclaceae bacterium]
BAC86723.1	unnamed protein product [Homo sapiens]
CAA6673974.1	unnamed protein product [Spirodela intermedia]
KAF1855848.1	hypothetical protein Lal_00001024 [Lupinus albus]
PXT53952.1	hypothetical protein LC01_24605, partial [Salmonella enterica subsp. enterica]
BAG46935.1	hypothetical protein BMULJ_05093 [Burkholderia multivorans ATCC 17616]
CUX12016.1	conserved hypothetical protein [Agrobacterium tumefaciens str. CFBP 5621]
OBV21546.1	hypothetical protein SAHC556_03075 [Staphylococcus aureus]
KIS36590.1	hypothetical protein NTHI1209_00002 [Haemophilus influenzae]
CEF22092.1	conserved hypothetical protein [Xanthomonas citri pv. citri]
AAY51666.1	unknown, partial [Hylobates lar]
EFJ93358.1	hypothetical protein HMPREF9531_01540 [Escherichia coli MS 45-1]
GGD98447.1	hypothetical protein GCM10010985_61530 [Caballeronia grimmiae]
GBF03822.1	hypothetical protein LPPLD21_03393 [Lactiplantibacillus paraplantarum]
MCG0557343.1	No_Species
KYN45445.1	hypothetical protein ALC53_00003 [Atta colombica]
WP_255515580.1	hypothetical protein [Flavobacterium sp. ZT3R18]
OUF70708.1	hypothetical protein AZZ88_001851, partial [Escherichia coli]
ORD34928.1	hypothetical protein A4T41_23450 [Escherichia coli]
PEG70239.1	hypothetical protein A3P04_07380 [Ligilactobacillus aviarius]
KDW70234.1	hypothetical protein AB42_5662, partial [Escherichia coli 1-392-07_S1_C2]
EDU60912.1	hypothetical protein PROSTU_01097 [Providencia stuartii ATCC 25827]
CCG06604.1	Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]
CBA31922.1	hypothetical protein Csp_D29540 [Curvibacter putative symbiont of Hydra magnipapillata]
WP_230540979.1	hypothetical protein, partial [Janthinobacterium sp. FW305-129]
EDZ64152.1	hypothetical protein KB13_284 [beta proteobacterium KB13]
KAG1606459.1	hypothetical protein G6F46_012993 [Rhizopus delemar]
CCI74358.1	unnamed protein product [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432]
CAR86203.1	Lipoprotein [Lacticaseibacillus rhamnosus GG]
ANK02893.1	Quinone oxidoreductase [Escherichia coli O25b:H4]
RYF64705.1	MAG: cytochrome c oxidase subunit 3, partial [Comamonadaceae bacterium]
CAB5278201.1	hypothetical protein IST495A_06013 [Burkholderia multivorans]
ORD31627.1	hypothetical protein A4T40_04410 [Escherichia coli]
KAF7273998.1	hypothetical protein GWI33_013314, partial [Rhynchophorus ferrugineus]
RBT11052.1	hypothetical protein EA95_02947, partial [Enterococcus faecium]
WP_205193464.1	acetyl-CoA C-acyltransferase, partial [Burkholderia sp. LMG 13014]
OXC88441.1	hypothetical protein BMR85_025785 [Achromobacter sp. KAs 3-5]
VBC09016.1	Cell wall-associated hydrolase [Burkholderia pseudomallei]
AKE21962.1	hypothetical protein BsLM_0162 [Bacillus sp. LM 4-2]
GEB75616.1	hypothetical protein LBR04_23550 [Levilactobacillus brevis]
KAA9298893.1	hypothetical protein F6I03_09685 [Aerococcus sanguinicola]
KRN31802.1	hypothetical protein IV68_GL001062 [Weissella halotolerans DSM 20190]
KAK45334.1	mercuric transport protein [Caballeronia jiangsuensis]
GGH88092.1	hypothetical protein GCM10007362_51750 [Saccharibacillus endophyticus]
PCR99715.1	hypothetical protein RU85_GL001077 [Lactococcus garvieae]
GGQ52520.1	hypothetical protein GCM10010279_70130 [Streptomyces mutabilis]
KEL05382.1	hypothetical protein AC36_4789, partial [Escherichia coli 4-203-08_S3_C2]
ALQ34105.1	peptidylprolyl isomerase -like 3 isoform 2 [Homo sapiens]
ORD05463.1	hypothetical protein A4T55_16700 [Escherichia coli]
MBS1148226.1	No_Species
BAT49936.1	uncharacterized protein BTUAT1_28020 [Bacillus pumilus]
AAM83918.1	hypothetical [Yersinia pestis KIM10+]
OYS46957.1	hypothetical protein CBF86_07615, partial [Limosilactobacillus reuteri]
WP_232298579.1	No_Species
ENS17103.1	hypothetical protein B972_01486, partial [Brucella abortus F10/05-11]
CBX28565.1	hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.]
AMJ35148.1	putative protein, partial [uncultured bacterium]
KAI4552411.1	hypothetical protein MJT46_017062 [Ovis ammon polii x Ovis aries]
KHF26723.1	hypothetical protein LR68_04456 [Anoxybacillus sp. BCO1]
EUM01686.1	hypothetical protein P826_00538, partial [Enterobacter hormaechei]
CCG06618.1	unnamed protein product [Pararhodospirillum photometricum DSM 122]
EFE06013.1	hypothetical protein CIT292_10609, partial [Citrobacter youngae ATCC 29220]
KAF1858360.1	hypothetical protein Lal_00014866 [Lupinus albus]
WP_259662904.1	hypothetical protein, partial [Burkholderia pseudomallei]
EFO55860.1	hypothetical protein HMPREF9348_05085 [Escherichia coli MS 145-7]
ELC06673.1	hypothetical protein WCM_04769, partial [Escherichia coli KTE10]
GEZ67244.1	No_Species
KFV20713.1	hypothetical protein GS40_24655, partial [Escherichia coli]
KAH1103596.1	hypothetical protein GYH30_037504 [Glycine max]
OLO13425.1	hypothetical protein BUV99_11835 [Corynebacterium diphtheriae]
EEW89197.1	conserved hypothetical protein [Brucella suis bv. 4 str. 40]
CQD05397.1	hypothetical protein U2A4042190011 [Corynebacterium striatum]
EXU23954.1	hypothetical protein J761_4007, partial [Acinetobacter baumannii 24845_8]
KZR99127.1	Uncharacterized protein APZ42_005135 [Daphnia magna]
GKP42071.1	hypothetical protein NUKP28_49010 [Klebsiella quasipneumoniae]
PCL27657.1	hypothetical protein CPZ20_15335 [Lacticaseibacillus rhamnosus]
KIP17387.1	hypothetical protein KY49_7052 [Burkholderia sp. MSHR3999]
SQH74338.1	conserved protein of unknown function [Shewanella benthica]
BAR86861.1	uncharacterized protein KNN_06094 [Bacillus thuringiensis serovar tolworthi]
WP_231379613.1	hypothetical protein, partial [Polaromonas sp. CG_9.11]
RIA79045.1	hypothetical protein C1645_133682 [Glomus cerebriforme]
CTQ30156.1	hypothetical protein CH1034_300264 [Klebsiella pneumoniae]
BAC87102.1	unnamed protein product [Homo sapiens]
CRD52345.1	hypothetical protein BN1263270067 [Stenotrophomonas maltophilia]
BDA92405.1	hypothetical protein E3AUHO_50910 [Klebsiella pneumoniae subsp. pneumoniae]
ANB98930.1	hypothetical protein FORC14_3234 [Vibrio parahaemolyticus]
OUY94312.1	hypothetical protein AZZ89_001085, partial [Enterobacter hormaechei]
HAB83646.1	No_Species
CAD5353922.1	conserved protein of unknown function [Citrobacter freundii]
CAD5372391.1	hypothetical protein RA210_U20374 [Rubrivivax sp. A210]
VVW91273.1	unnamed protein product, partial [Nymphaea colorata]
MBH2698676.1	No_Species
CAQ99742.1	hypothetical protein ECIAI1_2924 [Escherichia coli IAI1]
SOY86052.1	protein of unknown function [Cupriavidus taiwanensis]
EDZ60440.1	cell wall-associated hydrolase [Candidatus Pelagibacter sp. HTCC7211]
KAF9219096.1	hypothetical protein BS17DRAFT_686826, partial [Gyrodon lividus]
ATI08916.1	hypothetical protein CO715_25010 [Escherichia coli M12]
EEA91787.1	conserved hypothetical protein [Pseudovibrio sp. JE062]
ANT01125.1	hypothetical protein A8B94_11145 [Bordetella pertussis]
CDW93822.1	conserved hypothetical protein [Thiomonas sp. CB2]
WP_049019729.1	AAA family ATPase, partial [Burkholderia cenocepacia]
MCM3011904.1	No_Species
EEZ33514.1	LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Brucella sp. 83/13]
GED18205.1	hypothetical protein AMI01nite_61960 [Aneurinibacillus migulanus]
RGD82158.1	hypothetical protein DXD07_10550 [Ruminococcus sp. TF10-6]
EMI15242.1	lipoprotein [Bacillus stratosphericus LAMA 585]
CAR86201.1	Conserved protein [Lacticaseibacillus rhamnosus GG]
CRI33406.1	Uncharacterized protein BN1224_Wien1_A_09130 [Chlamydia pneumoniae]
HAV3900420.1	No_Species
TXL03798.1	hypothetical protein BMR07_14280 [Methylococcaceae bacterium CS1]
CCI74526.1	unnamed protein product [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432]
KAH1280767.1	hypothetical protein KXX11_004482, partial [Aspergillus fumigatus]
AVT18461.1	hypothetical protein C8244_18185 [Paracidovorax avenae]
SEQ51647.1	hypothetical protein SAMN05421510_107011 [Nitrosomonas ureae]
EXD28976.1	hypothetical protein J461_3939, partial [Acinetobacter baumannii 472237-1196]
KAF1854302.1	hypothetical protein Lal_00007124 [Lupinus albus]
GGN05117.1	hypothetical protein GCM10009124_39120 [Shewanella xiamenensis]
WP_223135339.1	hypothetical protein, partial [Salmonella enterica]
EKL01864.1	hypothetical protein VCHC17A1_0001, partial [Vibrio cholerae HC-17A1]
KAF1898406.1	hypothetical protein Lal_00042098 [Lupinus albus]
SPS02756.1	conserved hypothetical protein [Cupriavidus taiwanensis]
VVT17247.1	hypothetical protein RV134_290005 [Roseovarius sp. EC-HK134]
SPD56059.1	protein of unknown function (plasmid) [Cupriavidus taiwanensis]
BAJ11779.1	dehydration responsive protein, partial [Corchorus tridens]
MBK6653620.1	No_Species
KIM92489.1	hypothetical protein OIDMADRAFT_46664 [Oidiodendron maius Zn]
EGG54221.1	hypothetical protein HMPREF9439_01519 [Parasutterella excrementihominis YIT 11859]
BAB01670.1	unnamed protein product [Macaca fascicularis]
EMB90742.1	hypothetical protein SMU60_09878 [Streptococcus mutans U138]
OZM86376.1	hypothetical protein CF005_14485, partial [Escherichia coli]
KGK36474.1	hypothetical protein JL09_g4372 [Pichia kudriavzevii]
VVT16418.1	hypothetical protein SPHINGO361_140027 [Sphingomonas sp. EC-HK361]
RMT29295.1	hypothetical protein ALP51_01674 [Pseudomonas savastanoi]
AJG20079.1	hypothetical protein RR42_m2694 [Cupriavidus basilensis]
KAF1858189.1	hypothetical protein Lal_00010714 [Lupinus albus]
EIB51969.1	hypothetical protein cje16_04462 [Campylobacter jejuni subsp. jejuni 1997-1]
WP_243897742.1	hypothetical protein, partial [Burkholderia pseudomallei]
EDN84181.1	hypothetical protein BIFADO_00015 [Bifidobacterium adolescentis L2-32]
KOS96208.1	putative oRF16-lacZ fusion protein [Burkholderia mallei]
CAB5155272.1	hypothetical protein IST4131_06854 [Burkholderia cenocepacia]
KDT78303.1	hypothetical protein AC90_4954, partial [Escherichia coli 3-475-03_S4_C1]
WP_022619310.1	MULTISPECIES: hypothetical protein [Bacillota]
KAF1885763.1	hypothetical protein Lal_00008501 [Lupinus albus]
ETF33878.1	hypothetical protein G975_03116, partial [Escherichia coli UMEA 3489-1]
EAQ06446.1	hypothetical protein SKA53_05143 [Yoonia vestfoldensis SKA53]
KAI4473093.1	hypothetical protein M0802_016318 [Mischocyttarus mexicanus]
XP_041366723.1	putative uncharacterized protein ART2 [Gigantopelta aegis]
EHH15640.1	hypothetical protein EGK_01755, partial [Macaca mulatta]
CAB9543317.1	Mobile element protein [Bathymodiolus brooksi thiotrophic gill symbiont]
CAB5155303.1	Cell wall-associated hydrolase [Burkholderia cenocepacia]
PKA46010.1	hypothetical protein AXF42_Ash021373 [Apostasia shenzhenica]
MBL8459928.1	No_Species
KPV71469.1	hypothetical protein RHOBADRAFT_19494, partial [Rhodotorula graminis WP1]
WP_150851002.1	MULTISPECIES: 50S ribosomal protein L7/L12 [Corynebacterium]
KZR97627.1	Uncharacterized protein APZ42_007388, partial [Daphnia magna]
WP_136892685.1	mercuric ion transporter MerT [Trinickia sp. 7GSK02]
EDM52636.1	hypothetical protein EUBVEN_00074 [Eubacterium ventriosum ATCC 27560]
WP_237434901.1	thiolase family protein [Burkholderia aenigmatica]
EQR69632.1	hypothetical protein G790_00051, partial [Escherichia coli HVH 132 (4-6876862)]
KAH0714978.1	hypothetical protein KY284_007883 [Solanum tuberosum]
KZR98650.1	Uncharacterized protein APZ42_005833 [Daphnia magna]
ARU32620.1	hypothetical protein CAP31_13600 [Sulfuriferula sp. AH1]
NDF46410.1	No_Species
MCM3296535.1	No_Species
WP_188344481.1	GNAT family N-acetyltransferase [Phyllobacterium sp. 628]
KIM74538.1	hypothetical protein PILCRDRAFT_800917, partial [Piloderma croceum F 1598]
EXC01912.1	hypothetical protein L484_018823 [Morus notabilis]
PNJ78648.1	MYB isoform 10 [Pongo abelii]
GFR72353.1	cell wall-associated hydrolase [Elysia marginata]
PAC32344.1	hypothetical protein CE425_25025 [Salmonella enterica subsp. enterica serovar Senftenberg]
CZK02239.1	Transposase and inactivated derivatives [Legionella pneumophila]
EIB34918.1	hypothetical protein cje133_08353 [Campylobacter jejuni subsp. jejuni LMG 23357]
SCM71977.1	conserved hypothetical protein [uncultured Pleomorphomonas sp.]
SDP92290.1	hypothetical protein SAMN05443582_1226 [Phyllobacterium sp. OV277]
WP_215196292.1	hypothetical protein [Escherichia coli]
AAU06491.1	putative salivary protein, partial [Culicoides sonorensis]
KXU02345.1	hypothetical protein WEIDD23_02092 [Weissella sp. DD23]
EGB79477.1	hypothetical protein HMPREF9532_00001 [Escherichia coli MS 57-2]
EEZ80825.1	hypothetical protein VMC_43280 [Vibrio alginolyticus 40B]
QTS83770.1	hypothetical protein CEAn_00237 [Coxiella endosymbiont of Amblyomma nuttalli]
RLU73764.1	hypothetical protein CTZ27_38985 [Streptomyces griseocarneus]
KAH6623665.1	hypothetical protein F5144DRAFT_368892 [Chaetomium globosum]
WP_227152456.1	hypothetical protein, partial [Intestinimonas butyriciproducens]
WP_212745681.1	hypothetical protein, partial [Burkholderia sp. 4M9327F10]
KAI5311523.1	hypothetical protein L3X38_000249 (mitochondrion) [Prunus dulcis]
BAO82212.1	hypothetical protein SRAA_2358 [Serpentinimonas raichei]
RRG06894.1	MAG: hypothetical protein DUD35_14170 [Lactobacillus sp.]
EHH54855.1	hypothetical protein EGM_03947, partial [Macaca fascicularis]
CRH27626.1	Uncharacterized protein {ECO:0000313|EMBL:EUL48856.1} [Pantoea ananatis]
VWM08647.1	Uncharacterised protein [Collinsella intestinalis]
KNA52754.1	hypothetical protein A33_023855, partial [Vibrio cholerae AM-19226]
WP_226807949.1	hypothetical protein, partial [Bifidobacterium breve]
WP_233512837.1	hypothetical protein, partial [Micromonospora deserti]
VDO54167.1	unnamed protein product [Brugia timori]
KIP17371.1	hypothetical protein KY49_7053 [Burkholderia sp. MSHR3999]
