qseqid,frequency
uncharacterized protein P170DRAFT_165482 [Aspergillus steynii IBT 23096],1
conserved hypothetical protein [Xenorhabdus szentirmaii DSM 16338],2
hypothetical protein DSM25559_5477 [Agrobacterium rosae],22
"Uncharacterized protein APZ42_007388, partial [Daphnia magna]",12
hypothetical protein AGR1C_Cc40087 [Agrobacterium fabacearum TT111],3
hypothetical protein CF005_11345 [Escherichia coli],2
hypothetical protein RclHR1_02150023 [Rhizophagus clarus],1
hypothetical protein Lal_00014961 [Lupinus albus],6
putative alanine racemase 1 [Acinetobacter sp. 1396970],4
"hypothetical protein, partial [Burkholderia pseudomallei]",16
Conserved hypothetical protein [Candidatus Hamiltonella defensa (Bemisia tabaci)],2
"AAA family ATPase, partial [Stenotrophomonas maltophilia]",1
hypothetical protein GCM10008024_41150 [Allgaiera indica],3
Uncharacterized protein BN1183_AB_00600 [Pantoea ananatis],1
"hypothetical protein BVRB_042430, partial [Beta vulgaris subsp. vulgaris]",3
hypothetical protein CRT22_10590 [Escherichia sp. E5028],17
hypothetical protein BN163_2190001 [Clostridioides difficile T5],8
hypothetical protein C5B41_16165 [Acinetobacter ursingii],3
conserved hypothetical protein [Yersinia pestis biovar Mediaevalis str. K1973002],7
hypothetical protein Lani381_1357 [Ligilactobacillus animalis],1
putative serine acetyltransferase [Burkholderia mallei],25
hypothetical protein [Phaffia rhodozyma],12
hypothetical protein A4T55_16700 [Escherichia coli],8
hypothetical protein BvCms2454_03764 [Escherichia coli],2
MAG: hypothetical protein E5W30_00835 [Mesorhizobium sp.],46
hypothetical protein HMPREF0549_0166 [Limosilactobacillus vaginalis DSM 5837 = ATCC 49540],3
TPA: polypyrimidine tract binding protein 2-like [Bos taurus],9
hypothetical protein LPLWJ_34090 [Lactiplantibacillus plantarum WJL],5
"RNAase, partial [Lysinibacillus contaminans]",7
hypothetical protein BN1184_AC_00040 [Pantoea ananatis],5
"hypothetical protein A0H81_15002, partial [Grifola frondosa]",1
"hypothetical protein CBFG_06255, partial [Clostridiales bacterium 1_7_47FAA]",4
"hypothetical protein BVRB_019370, partial [Beta vulgaris subsp. vulgaris]",1
"LOW QUALITY PROTEIN: conserved hypothetical protein, partial [Brucella abortus NCTC 8038]",13
hypothetical protein Lal_00009654 [Lupinus albus],1
"hypothetical protein, partial [Bifidobacterium breve]",19
hypothetical protein NTHI1209_00003 [Haemophilus influenzae],7
"hypothetical protein EGM_12341, partial [Macaca fascicularis]",1
"hypothetical protein HMPREF0986_05282, partial [Escherichia coli 4_1_47FAA]",6
conserved hypothetical protein [Enterococcus casseliflavus EC30],8
"hypothetical protein BVRB_037930, partial [Beta vulgaris subsp. vulgaris]",17
hypothetical protein Csp_D29610 [Curvibacter putative symbiont of Hydra magnipapillata],18
hypothetical protein DM77_3244 [Burkholderia mallei],7
hypothetical protein [Weissella confusa],18
"hypothetical protein KUM_1451, partial [Taylorella asinigenitalis 14/45]",5
"hypothetical protein AC36_4789, partial [Escherichia coli 4-203-08_S3_C2]",12
"hypothetical protein AZ038_003754, partial [Enterobacter hormaechei]",2
"hypothetical protein M569_01247, partial [Genlisea aurea]",1
hypothetical protein UTI89_C3718 [Escherichia coli UTI89],8
hypothetical protein C5L28_002627 [Lentilactobacillus parakefiri],3
hypothetical protein AAW51_1793 [Caldimonas brevitalea],12
"putative sulfate exporter family transporter, partial [Klebsiella oxytoca]",1
hypothetical protein VOLCADRAFT_84876 [Volvox carteri f. nagariensis],1
dihydrolipoamide dehydrogenase (EC 1.8.1.4) - Enterococcus faecalis (fragment),1
hypothetical protein HMPREF0513_01840 [Limosilactobacillus fermentum 28-3-CHN],13
hypothetical protein CKO_00099 [Citrobacter koseri ATCC BAA-895],3
conserved hypothetical protein [Agrobacterium genomosp. 2 str. CFBP 5494],6
"hypothetical protein, partial [Streptococcus parasanguinis]",40
amidophosphoribosyltransferase [Burkholderia guangdongensis],1
hypothetical protein NT26_3367 [Pseudorhizobium banfieldiae],3
hypothetical protein SIAM614_02721 [Stappia aggregata IAM 12614],3
putative membrane protein [Burkholderia sp. RPE67],13
putative oRF58e [Bacteroides fragilis str. 1007-1-F #3],3
"hypothetical protein J471_4195, partial [Acinetobacter baumannii 1032359]",3
lipoprotein [Bacillus stratosphericus LAMA 585],2
"Putative uncharacterized protein, partial [Pararhodospirillum photometricum DSM 122]",9
hypothetical protein WICANDRAFT_86357 [Wickerhamomyces anomalus NRRL Y-366-8],6
hypothetical protein IST4131_06855 [Burkholderia cenocepacia],30
hypothetical protein E1B25_21840 [Antarcticimicrobium sediminis],2
conserved hypothetical protein [Brucella suis bv. 4 str. 40],7
uncharacterized protein YLR157C-C [Saccharomyces cerevisiae S288C],13
hypothetical protein DE8555_0047 [Neisseria meningitidis],1
"hypothetical protein B7467_04935, partial [Staphylococcus lugdunensis]",1
MAG: hypothetical protein C4K60_02605 [Ideonella sp. MAG2],1
putative uncharacterized protein FLJ44672 [Pan troglodytes],1
"hypothetical protein SOVF_215730, partial [Spinacia oleracea]",3
hypothetical protein GCM10007971_38770 [Oceanobacillus indicireducens],9
conserved hypothetical protein [Xanthomonas citri pv. citri],8
CTP synthase [Herbaspirillum sp. B39],1
Ynl2444p [Saccharomyces cerevisiae],1
hypothetical protein GLYMA_13G011150v4 [Glycine max],1
hypothetical protein SRAA_2358 [Serpentinimonas raichei],11
"hypothetical protein CTZ27_38775, partial [Streptomyces griseocarneus]",6
"protein phosphatase 4 regulatory subunit 2, partial [Homo sapiens]",1
hypothetical protein PTKU64_89500 [Paraburkholderia terrae],4
hypothetical protein Lal_00001515 [Lupinus albus],15
conserved hypothetical protein [Burkholderiales bacterium 8X],12
cell wall-associated hydrolase [Clostridium botulinum Bf],1
hypothetical protein DAPPUDRAFT_267663 [Daphnia pulex],4
hypothetical protein C1645_133682 [Glomus cerebriforme],5
hypothetical protein WEIDD23_02092 [Weissella sp. DD23],50
"hypothetical protein AZZ88_001851, partial [Escherichia coli]",9
"hypothetical protein F947_00014, partial [Acinetobacter towneri DSM 14962 = CIP 107472]",5
"LOW QUALITY PROTEIN: hypothetical protein HMPREF0513_01842, partial [Limosilactobacillus fermentum 28-3-CHN]",4
hypothetical protein G6F50_014710 [Rhizopus delemar],6
conserved hypothetical protein [uncultured Pleomorphomonas sp.],1
hypothetical protein Lal_00001024 [Lupinus albus],12
hypothetical protein B566_EDAN011677 [Ephemera danica],13
Quinone oxidoreductase [Escherichia coli O25b:H4],13
hypothetical protein CKA32_002589 [Geitlerinema sp. FC II],6
"hypothetical protein, partial [Thomasclavelia ramosa]",6
hypothetical protein [Bacillus sp. BD59S],2
"hypothetical protein PAT3040_04995, partial [Paenibacillus agaridevorans]",2
"MAG: cytochrome c oxidase subunit 3, partial [Comamonadaceae bacterium]",1
"hypothetical protein HD553DRAFT_275009, partial [Filobasidium floriforme]",1
hypothetical protein IV69_GL000657 [Weissella confusa],12
"iron-sulfur cluster assembly protein, partial [Burkholderia cenocepacia]",1
PG1 protein [Bifidobacterium hapali],6
"hypothetical protein C3J94_28580, partial [Klebsiella pneumoniae subsp. pneumoniae]",6
hypothetical protein FAEPRAM212_01166 [Faecalibacterium prausnitzii M21/2],1
protein of unknown function [Latilactobacillus sakei],9
hypothetical protein NTHI1209_00002 [Haemophilus influenzae],6
hypothetical protein BACCAP_04475 [Pseudoflavonifractor capillosus ATCC 29799],2
RecName: Full=Putative uncharacterized protein ART2; AltName: Full=Antisense to ribosomal RNA transcript protein 2,6
"hypothetical protein CH063_15059, partial [Colletotrichum higginsianum]",1
"hypothetical protein SMU82_09822, partial [Streptococcus mutans SM6]",6
hypothetical protein FAEPRAM212_01167 [Faecalibacterium prausnitzii M21/2],6
"hypothetical protein BVRB_041110, partial [Beta vulgaris subsp. vulgaris]",8
MULTISPECIES: alpha-ketoacid dehydrogenase subunit beta [Planococcus],1
hypothetical protein A4T55_16715 [Escherichia coli],3
"hypothetical protein SM65_03041, partial [Klebsiella pneumoniae]",6
"hypothetical protein CWC05_23250, partial [Pseudoalteromonas ruthenica]",1
"unnamed protein product, partial [Rotaria sp. Silwood1]",1
"hypothetical protein AD15_5463, partial [Escherichia coli 3-105-05_S4_C2]",2
hypothetical protein AUC63_01562 [Weissella cibaria],1
type I glyceraldehyde-3-phosphate dehydrogenase [Weissella confusa],3
hypothetical protein EMGBS12_06750 [Methylophilaceae bacterium],8
"hypothetical protein BSF34_21680, partial [Escherichia coli]",20
hypothetical protein NFI96_003608 [Prochilodus magdalenae],1
"hypothetical protein AZZ99_004278, partial [Serratia marcescens]",6
type III-E CRISPR-associated gRAMP effector Cas7-11 [Desulfonema ishimotonii],21
hypothetical protein [Burkholderia cepacia],1
hypothetical protein CAP31_13570 [Sulfuriferula sp. AH1],3
MULTISPECIES: 50S ribosomal protein L6 [Acidovorax],1
RecName: Full=Putative uncharacterized protein YLR154W-B,12
hypothetical protein BVRB_022340 [Beta vulgaris subsp. vulgaris],17
conserved hypothetical protein [Magnetospirillum gryphiswaldense MSR-1],3
hypothetical protein E3AUHO_50910 [Klebsiella pneumoniae subsp. pneumoniae],3
"unnamed protein product, partial [Allacma fusca]",1
hypothetical protein A8B94_11145 [Bordetella pertussis],4
"hypothetical protein HKBW3S03_01828, partial [Candidatus Hakubella thermalkaliphila]",1
"putative protein, partial [uncultured bacterium]",15
"hypothetical protein AZZ65_003466, partial [Escherichia coli]",6
hypothetical protein Lal_00037278 [Lupinus albus],1
C4-dicarboxylate transport protein [Escherichia coli],1
D-amino acid dehydrogenase [Herbaspirillum huttiense],1
putative oRF16-lacZ fusion protein [Burkholderia mallei],6
hypothetical protein ECSTECB2F1_4404 [Escherichia coli O91:H21 str. B2F1],13
hypothetical protein BO70DRAFT_408592 [Aspergillus heteromorphus CBS 117.55],1
hypothetical protein MA13_contig00008-0051 [Edwardsiella piscicida],2
hypothetical protein Lal_00037056 [Lupinus albus],1
hypothetical protein HMPREF9348_05085 [Escherichia coli MS 145-7],17
hypothetical protein VOLCADRAFT_58557 [Volvox carteri f. nagariensis],2
hypothetical protein R69888_04106 [Paraburkholderia haematera],1
hypothetical protein [Escherichia coli],17
"hypothetical protein KXX11_004482, partial [Aspergillus fumigatus]",10
"hypothetical protein CEW46_33100, partial [Bacillus cereus]",5
Uncharacterized protein BN1183_CM_00830 [Pantoea ananatis],1
"hydrolase, partial [Companilactobacillus farciminis]",5
hypothetical protein Lal_00042759 [Lupinus albus],4
"putative alanine racemase 1, partial [Escherichia coli 178850]",3
hypothetical protein CF60_26395 [Escherichia coli],9
"hypothetical protein KXV85_002614, partial [Aspergillus fumigatus]",1
TPA: hypothetical protein BOS_23216 [Bos taurus],1
hypothetical protein ALP84_100789 [Pseudomonas cichorii],7
hypothetical protein G293_02690 [Candidatus Liberibacter africanus PTSAPSY],2
"hypothetical protein BSLA_01f5548, partial [Burkholderia stabilis]",13
"hypothetical protein AZ012_003654, partial [Citrobacter amalonaticus]",2
Cell wall-associated hydrolase [Burkholderia pseudomallei],9
hypothetical protein HFA01_37930 [Halobacillus faecis],3
hypothetical protein [Methylomonas fluvii],4
hypothetical protein PsAD2_00801 [Pseudovibrio axinellae],1
hypothetical protein BN164_2010001 [Clostridioides difficile T20],7
hypothetical protein ALQ04_100451 [Pseudomonas cichorii],1
RNAase [Rickettsia endosymbiont of Proechinophthirus fluctus],13
hypothetical protein HM1_3125 [Heliomicrobium modesticaldum Ice1],1
hypothetical protein BRAS3843_20018 [Bradyrhizobium sp. STM 3843],3
hypothetical protein SPHINGOAX6_40139 [Sphingomonas sp. AX6],1
unnamed protein product [Klebsiella pneumoniae subsp. rhinoscleromatis SB3432],9
hypothetical protein BMA1789 [Burkholderia mallei ATCC 23344],3
hypothetical protein DSM25559_2284 [Agrobacterium rosae],3
hypothetical protein L798_09058 [Zootermopsis nevadensis],1
hypothetical protein GCM10010946_36720 [Undibacterium squillarum],8
"hypothetical protein, partial [Mycobacterium tuberculosis]",3
conserved hypothetical protein [Escherichia coli FVEC1412],3
hypothetical protein HMPREF9553_01204 [Escherichia coli MS 200-1],12
conserved protein of unknown function [Magnetospirillum sp. XM-1],2
"hypothetical protein EJ07DRAFT_150034, partial [Lizonia empirigonia]",1
TPA_asm: hypothetical protein HUJ06_017129 [Nelumbo nucifera],1
aldehyde dehydrogenase [Burkholderia pseudomallei],2
protein translocase subunit SecD [Herbaspirillum sp. B65],1
Uncharacterised protein [Weissella viridescens],12
hypothetical protein TUM4637_41990 [Shewanella hafniensis],1
Uncharacterized protein TC_0114 [Curvibacter putative symbiont of Hydra magnipapillata],13
"hypothetical protein AZ005_002580, partial [Escherichia coli]",10
hypothetical protein Lal_00014971 [Lupinus albus],3
hypothetical protein PACTADRAFT_371 [Pachysolen tannophilus NRRL Y-2460],4
conserved hypothetical protein [Brucella pinnipedialis M163/99/10],5
hypothetical protein N47_G38890 [uncultured Desulfobacterium sp.],26
DnaJ family molecular chaperone [Phyllobacterium sp. OV277],1
"hypothetical protein, partial [Serratia marcescens]",1
"hCG2040605, partial [Homo sapiens]",1
hypothetical protein PROSTU_00109 [Providencia stuartii ATCC 25827],1
"uncharacterized protein GI527_G0003979, partial [Saccharomyces cerevisiae]",4
"hypothetical protein BS624_23885, partial [Vibrio parahaemolyticus]",1
"hypothetical protein SMU88_09862, partial [Streptococcus mutans NLML8]",4
hypothetical protein BMR85_025735 [Achromobacter sp. KAs 3-5],1
"MAG: periplasmic nitrate reductase subunit alpha, partial [Gammaproteobacteria bacterium]",1
"hypothetical protein, partial [Candidatus Paracaedibacter symbiosus]",1
hypothetical protein CLF_113308 [Clonorchis sinensis],5
MAG: hypothetical protein CM1200mP17_08440 [Woeseia sp.],1
"dehydration responsive domain protein, partial [Escherichia coli TW15901]",1
"hypothetical protein BT69DRAFT_1212306, partial [Atractiella rhizophila]",1
"putative cell wall-associated hydrolase, partial [Acinetobacter baumannii 1043903]",1
hypothetical protein HALTITAN_3298 [Halomonas titanicae BH1],1
"MAG: 50S ribosomal protein L14, partial [Comamonadaceae bacterium CG2_30_57_122]",1
hypothetical protein C1646_748743 [Rhizophagus diaphanus],2
uncharacterized protein ORF91 [Anaerolineaceae bacterium],1
hypothetical protein Lal_00014931 [Lupinus albus],10
hypothetical protein XAC908_1160001 [Xanthomonas citri pv. citri],5
hypothetical protein A8F38_29435 [Burkholderia cenocepacia],7
"hypothetical protein G939_04501, partial [Escherichia coli UMEA 3201-1]",1
MULTISPECIES: hypothetical protein [Gammaproteobacteria],9
hypothetical protein RHIZ404_210412 [Rhizobium sp. EC-SD404],1
hypothetical protein LASAK_01637 [Latilactobacillus sakei],4
hypothetical protein GCM10011282_35980 [Undibacterium macrobrachii],5
"MAG: hypothetical protein AWU57_3521, partial [Marinobacter sp. T13-3]",1
WDR6 isoform 11 [Pongo abelii],1
"hypothetical protein HMPREF9349_05350, partial [Escherichia coli MS 79-10]",1
Cell wall-associated hydrolase [Chromobacterium violaceum],7
hypothetical protein FC85_GL001211 [Lentilactobacillus diolivorans DSM 14421],1
hypothetical protein MYA_2506 [Burkholderia sp. KJ006],1
conserved hypothetical protein [Hyphomicrobium sp. GJ21],4
"PG1 protein, homology to Homo sapiens [Lactobacillus crispatus ST1]",4
hypothetical protein LOK49_LG14G01667 [Camellia lanceoleosa],1
"S1 RNA-binding domain-containing protein, partial [Mycobacterium tuberculosis]",1
MAG: hypothetical protein CBARDMAM_5813 [uncultured Caballeronia sp.],10
"hypothetical protein, partial [Vibrio harveyi]",2
YLR154W-A-like protein [Saccharomyces kudriavzevii IFO 1802],1
MAG: hypothetical protein FD148_2073 [Methylocystaceae bacterium],2
"FLJ00312 protein, partial [Homo sapiens]",1
hypothetical protein BMULJ_05092 [Burkholderia multivorans ATCC 17616],4
hypothetical protein KY49_7052 [Burkholderia sp. MSHR3999],7
phosphonate ABC transporter substrate-binding protein [Acidovorax temperans],1
50S ribosomal protein L7/L12 [Weissella cibaria],1
conserved hypothetical protein [Cupriavidus oxalaticus],4
hypothetical protein CGSSp18BS74_00996 [Streptococcus pneumoniae SP18-BS74],4
"hypothetical protein B7467_05435, partial [Staphylococcus lugdunensis]",7
hypothetical protein BDFG_09353 [Blastomyces dermatitidis ATCC 26199],1
chaperonin GroEL [Herbaspirillum sp. LeCh32-8],1
hypothetical protein DFQ28_002345 [Apophysomyces sp. BC1034],1
conserved protein of unknown function [Pseudomonas inefficax],1
hypothetical protein BSLA_01f0073 [Burkholderia stabilis],5
"hypothetical protein Lal_00014582, partial [Lupinus albus]",1
hypothetical protein Lal_00007124 [Lupinus albus],1
hypothetical protein BMR07_14280 [Methylococcaceae bacterium CS1],3
gatC [Shigella boydii 5216-82],1
"hypothetical protein, partial [bacterium]",1
"hCG2039566, isoform CRA_b [Homo sapiens]",1
hypothetical protein TCEA9_18480 [Thermobrachium celere],2
"hypothetical protein APU36_00020, partial [Escherichia coli]",1
conserved hypothetical protein [Escherichia coli],5
hypothetical protein SG71_01595 [Enterobacter chengduensis],1
"hypothetical protein IGA_06290, partial [Bacillus cereus HuA3-9]",1
hypothetical protein D5086_0000172010 [Populus alba],1
Cell wall-associated hydrolase [Burkholderia multivorans],4
hypothetical protein AL505_130035 [Escherichia coli],4
hypothetical protein PSP6_250092 [Paraburkholderia tropica],2
"hypothetical protein P254_03121, partial [Acinetobacter oleivorans CIP 110421]",1
hypothetical protein S11_5655 [Escherichia coli B26-1],1
hypothetical protein DSM25559_5471 [Agrobacterium rosae],5
"hypothetical protein ACH57_25060, partial [Salmonella enterica subsp. enterica serovar Typhimurium]",1
hypothetical protein EHV15_02690 [Paenibacillus oralis],1
"Chain A, INITIATION FACTOR 4A",1
"hypothetical protein AE39_04607, partial [Escherichia coli BIDMC 64]",14
hypothetical protein MASSI9I_10204 [Massilia sp. 9I],1
