qseqid,frequency
"Sphingomonas sp. strain GR2756 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome 17 clone CH17-157L1, complete sequence",1
"Niveibacterium microcysteis strain HC41 chromosome, complete genome",2
"Uncultured bacterium clone Pohang_WWTP_June.2005_873 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli O157:H7 strain M1300706001A chromosome, complete genome",5
"Castellaniella defragrans strain 65Phen 23S ribosomal RNA gene, complete sequence",1
"Delftia sp. Cs1-4 strain Cs1-4 23S ribosomal RNA, complete sequence",1
"Uncultured bacterium clone SL-0082 16S ribosomal RNA gene, partial sequence",1
"Chryseobacterium arthrosphaerae strain LMY chromosome, complete genome",2
"Uncultured bacterium clone F5K2Q4C04J4VZS 23S ribosomal RNA gene, partial sequence",1
"Ramlibacter tataouinensis strain TTB310 23S ribosomal RNA gene, complete sequence",1
"Klebsiella michiganensis strain BD-50-Km chromosome, complete genome",1
"Uncultured bacterium clone F5K2Q4C04JMJF5 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone F5K2Q4C04J341H 23S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain A16EC0796 chromosome, complete genome",1
"Lactiplantibacillus plantarum strain KLDS1.0386 plasmid p4, complete sequence",1
"Burkholderia ambifaria strain B21-006 chromosome 3, complete sequence",4
"Saccharomyces cerevisiae strain 2.0399 18S ribosomal RNA gene, partial sequence",1
"Chryseobacterium faecale strain F4 chromosome, complete genome",1
"Acinetobacter johnsonii strain CSUSB1 chromosome, complete genome",1
"Uncultured bacterium clone 3148 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04H63PK 23S ribosomal RNA gene, partial sequence",1
"Nocardia asteroides strain FDAARGOS_1621 chromosome, complete genome",1
"Acidovorax radicis strain 79 chromosome, complete genome",6
"Delftia lacustris strain INDB 16S ribosomal RNA gene, partial sequence",2
"Burkholderia ambifaria strain B21-004 chromosome 3, complete sequence",22
"Uncultured bacterium clone F5K2Q4C04IU5IF 23S ribosomal RNA gene, partial sequence",1
"Massilia sp. strain S_WE.SI107 16S ribosomal RNA gene, partial sequence",1
"Leptothrix cholodnii strain SP-6 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone PS_Site3_LRC-2 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",3
"Peptoniphilus harei strain FDAARGOS_1136 chromosome, complete genome",1
"Telmatocola sphagniphila strain SP2T chromosome, complete genome",1
"Uncultured bacterium clone GKJWQY101A7TMS 23S ribosomal RNA gene, partial sequence",1
Homo sapiens isolate CHM13 chromosome 22,5
"Acinetobacter vivianii strain KJ-1 chromosome, complete genome",2
"Methylovorus sp. MP688 strain MP688 23S ribosomal RNA, complete sequence",2
"Uncultured beta proteobacterium genes for 16S ribosomal RNA, tRNA-Ile, tRNA-Ala, 23S ribosomal RNA, partial and complete sequence, clone: F4",1
"Weissella confusa strain SM1 16S ribosomal RNA gene, partial sequence",8
"Acinetobacter variabilis strain FDAARGOS_1487 chromosome, complete genome",1
"Human DNA sequence from clone RP5-835G14 on chromosome 1q42.1-43, complete sequence",1
"Uncultured bacterium clone MD20 16S ribosomal RNA gene, partial sequence",1
"Euglena deses strain SAG 1224-23 large subunit ribosomal RNA gene, partial sequence",1
"Pandoraea pnomenusa strain 3kgm 23S ribosomal RNA gene, complete sequence",5
"Yersinia similis strain Y228 23S ribosomal RNA, complete sequence",1
"Halomonas piezotolerans strain HN2 chromosome, complete genome",1
"Carnobacterium maltaromaticum strain ST6, ST17 16S ribosomal RNA gene, partial sequence",1
"Shinella zoogloeoides strain ATCC 19623 chromosome, complete genome",2
"Herbaspirillum seropedicae strain SmR1 23S ribosomal RNA gene, complete sequence",7
"Caldimonas thermodepolymerans strain DSM 15344 chromosome, complete genome",3
"Homo sapiens DNA, sequence_id: unplaced_0095",1
"Comamonadaceae bacterium M7527 chromosome, complete genome",5
"Uncultured bacterium clone F5K2Q4C04JF6GQ 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I0YKB 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium isolate DGGE gel band f 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens clone FOS_0002, complete sequence",1
"Weissella cibaria strain PON10032 16S ribosomal RNA gene, partial sequence",1
"Rubrivivax gelatinosus strain IL144 23S ribosomal RNA gene, complete sequence",3
Homo sapiens clone LA15_25H3 sequence,1
"Cloacibacterium caeni isolate Isolate2 genome assembly, chromosome: 1",1
"Homo sapiens coiled-coil domain containing 107 (CCDC107), RefSeqGene on chromosome 9",1
"Thiocapsa bogorovii strain BBS chromosome, complete genome",2
"Homo sapiens histone H3 (HIST1H3D) gene, complete cds",1
"Chitinimonas koreensis strain R2A43-10 chromosome, complete genome",1
"Rhodoferax sp. PAMC 29310 strain PAMC29310 chromosome, complete genome",2
"Caulobacter segnis strain CBR1 chromosome, complete genome",1
"Paracatonia sp. JMU-2012 28S ribosomal RNA gene, partial sequence",1
"Variovorax sp. strain 196_Variovo 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone F5K2Q4C04H7GNR 23S ribosomal RNA gene, partial sequence",1
Janthinobacterium sp. PLB04 chromosome,10
"Comamonas odontotermitis strain WLL plasmid unnamed1, complete sequence",2
Ralstonia solanacearum strain UW251 chromosome,3
"Phyllobacterium sp. 628 chromosome, complete genome",5
"Uncultured bacterium clone ncd2000b01c1 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum sp. strain CNPSo 4064 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium clone ncd2575g01c1 16S ribosomal RNA gene, partial sequence",2
"Burkholderia cenocepacia H111 chromosome 2, complete genome",2
"Limosilactobacillus reuteri strain VHProbi M07 chromosome, complete genome",5
"Uncultured bacterium partial 16S rRNA gene, clone OL-KR42/175m_D5",1
"Serratia marcescens strain MRSN696556 chromosome, complete genome",2
"Paracidovorax citrulli strain HPP21-3-3B chromosome, complete genome",3
"Uncultured bacterium clone F5K2Q4C04ISZPH 23S ribosomal RNA gene, partial sequence",1
"Weissella hellenica strain MBEL1842 chromosome, complete genome",8
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XVI,2
"Candidatus Nardonella dryophthoridicola strain NardRF chromosome, complete genome",1
Burkholderia dolosa strain FDAARGOS_1545 chromosome 1,4
"Escherichia coli strain 429692 chromosome, complete genome",1
"Uncultured Enterobacteriaceae bacterium clone DVBSW_D287 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IB3SE 23S ribosomal RNA gene, partial sequence",1
"Human DNA sequence from clone RP1-102G20 on chromosome 1q24-25, complete sequence",1
"Mallomonas marina strain Dongho031817J large subunit ribosomal RNA gene, partial sequence; chloroplast",1
"Paenacidovorax monticola strain KACC 19171 chromosome, complete genome",1
"Albirhodobacter sp. strain KMM 3658 16S ribosomal RNA gene, partial sequence",1
"Phyllobacterium sp. T1293 plasmid pT1293c, complete sequence",7
"Homo sapiens haplogroup H3v+16093 mitochondrion, complete genome",7
"Echium plantagineum isolate BPTPS251 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Cervus elaphus genome assembly, chromosome: 10",1
"Daphnia pulex ncRNA, kairomone-inducible transcript",3
"Aureimonas altamirensis strain C2P003 chromosome, complete genome",6
"Uncultured bacterium clone RW6224 16S ribosomal RNA gene, partial sequence",1
"Chryseobacterium indologenes strain 742 chromosome, complete genome",2
"Acidovorax temperans strain S_WO.SB14.074 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone ncd2512c03c1 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens BAC clone CH17-26M1 from chromosome 12, complete sequence",1
"Collimonas pratensis strain MP-22 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone INDI_S_SPR_03A 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Polistes fuscatus small subunit ribosomal RNA (LOC122515979), rRNA",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome XV,4
"Weissella diestrammenae strain KACC 16890 chromosome, complete genome",1
"Weissella cibaria strain CBA3636 chromosome, complete genome",2
"Paraburkholderia fungorum strain PT315 16S ribosomal RNA gene, partial sequence",3
"Serratia ureilytica strain JBIWA004 chromosome, complete genome",6
"Burkholderia ambifaria strain B21-004 chromosome 2, complete sequence",2
"Unidentified bacterium clone 1952 16S ribosomal RNA gene, partial sequence",1
"Sphingomonas radiodurans strain S9-5 chromosome, complete genome",2
"PREDICTED: Jaculus jaculus U1 spliceosomal RNA (LOC123453485), ncRNA",1
"Uncultured bacterium clone B3019 16S ribosomal RNA gene, partial sequence",1
"Bacillus toyonensis strain HA0190 chromosome, complete genome",1
"Homo sapiens DNA, chromosome 15, nearly complete genome",1
"Uncultured bacterium partial 16S rRNA gene, clone EBP1633",2
"Uncultured bacterium clone F5K2Q4C04H5YRG 23S ribosomal RNA gene, partial sequence",1
"Burkholderia ambifaria strain B21-004 chromosome 1, complete sequence",3
Gossypium hirsutum strain CNH 123 genomic sequence,1
"Uncultured bacterium clone leachfield16Sseq312 16S ribosomal RNA gene, partial sequence",1
Homo sapiens 12q22 BAC RPCI11-256L6 (Roswell Park Cancer Institute Human BAC Library) complete sequence,1
"Phyllobacterium sp. 628 plasmid p_2, complete sequence",2
"Saccharomyces sp. IFO 11059 gene for 18S rRNA, partial sequence",1
Homo sapiens isolate CHM13 chromosome 19,3
"Escherichia coli strain 588888 chromosome, complete genome",1
Homo sapiens isolate CHM13 chromosome 17,7
"Citrobacter portucalensis strain K218 chromosome, complete genome",2
"Salmonella enterica subsp. enterica serovar Indiana strain YZ21MCS4 chromosome, complete genome",4
"Xanthomonas oryzae pv. oryzae strain GXO2016 chromosome, complete genome",2
"Geobacillus genomosp. 3 strain JF8 chromosome, complete sequence",1
"Burkholderia contaminans strain SCAID TST1-2021 (11/270) chromosome 1, complete sequence",6
"Metabacillus litoralis strain NCTR108 chromosome, complete genome",2
"Salmonella enterica subsp. enterica serovar Gallinarum strain 07Q015 chromosome, complete genome",1
"Uncultured bacterium clone PS_Site2_3_LRC-1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Simplicispira sp. strain NBSH78 16S ribosomal RNA gene, partial sequence",3
"Uncultured bacterium partial 16S rRNA gene, clone A1_C6",1
"Nevskia ramosa strain S_WE.AI5.063 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04IOCIU 23S ribosomal RNA gene, partial sequence",1
"Herminiimonas aquatilis strain 21LW1-65 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F1Q32TO06GUVHI 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain CCFM8331 16S ribosomal RNA gene, partial sequence",1
"Massilia sp. NP310 chromosome, complete genome",1
"Rhodospirillum centenum strain SW 23S ribosomal RNA gene, complete sequence",1
"PREDICTED: Leopardus geoffroyi nucleophosmin 1 (NPM1), transcript variant X3, mRNA",1
"Uncultured fungus clone nco89e11c1 18S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis keratin, type I cytoskeletal 18 (LOC123574677), mRNA",1
"Pectobacterium carotovorum strain 25.1 chromosome, complete genome",3
"Malus domestica genome assembly, chromosome: 16",1
"Burkholderia contaminans strain toggle1 chromosome 3, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04IXBHN 23S ribosomal RNA gene, partial sequence",1
"PREDICTED: Aegilops tauschii subsp. strangulata 5S ribosomal RNA (LOC123496737), rRNA",1
"Uncultured bacterium clone QKAC2ZE091 16S ribosomal RNA gene, partial sequence",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome V,1
"Acinetobacter calcoaceticus strain ARu19 chromosome, complete genome",4
Rhizobacter sp. AJA081-3 chromosome,2
"Mallomonas asmundae internal transcribed spacer 1, 5.8S ribosomal RNA gene, internal transcribed spacer 2, and 28S large subunit ribosomal RNA gene, complete sequence",1
"Azorhizobium caulinodans strain ORS 571 23S ribosomal RNA gene, complete sequence",1
"Weissella tructae strain W-1 chromosome, complete genome",1
Saccharomyces cerevisiae strain S288C-SK1-cross isolate tetrad 8 spore a chromosome II,1
"Uncultured bacterium clone Ce.so-F-DM-HN-14-6 16S ribosomal RNA gene, partial sequence",1
"Microvirgula sp. strain ST5M 16S ribosomal RNA gene, partial sequence",2
"Aromatoleum petrolei strain ToN1 chromosome, complete genome",2
"Lactiplantibacillus plantarum strain ZW5 chromosome, complete genome",1
"Ferribacterium limneticum strain 132 chromosome, complete genome",1
"Novosphingobium kaempferiae strain Sx8-5 chromosome, complete genome",1
"Homo sapiens CCCTC-binding factor (CTCF), RefSeqGene on chromosome 16",1
"Agrobacterium deltaense strain PT316 16S ribosomal RNA gene, partial sequence",2
"Escherichia coli strain SYAU21-D1 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone PET_Site1_LRC_1 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",3
"Uncultured beta proteobacterium clone O-5-16 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone 181 16S ribosomal RNA gene, partial sequence",1
Liquorilactobacillus nagelii DSM 13675 chromosome,1
"Herbaspirillum seropedicae SmR1, complete genome",1
"Delftia lacustris strain T3 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone TX2_1A04 16S ribosomal RNA gene, partial sequence",1
"Flavobacterium sp. F-29 chromosome, complete genome",1
"Uncultured bacterium clone 99928 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone MD257 16S ribosomal RNA gene, partial sequence",1
"Aeromonas media strain TR3_1 chromosome, complete genome",1
"Phyllobacterium sp. T1293 chromosome, complete genome",1
"PREDICTED: Macaca fascicularis bridging integrator 3 (BIN3), transcript variant X1, mRNA",1
"Uncultured bacterium clone JdFBBkgd62 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nbw1184e10c1 16S ribosomal RNA gene, partial sequence",1
"Herbaspirillum huttiense strain 266 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium gene for 16S ribosomal RNA, partial sequence, clone: rS5m_80",1
"Uncultured bacterium clone F5K2Q4C04I5QST 23S ribosomal RNA gene, partial sequence",1
"Variovorax guangxiensis strain LG-Z3 16S ribosomal RNA gene, partial sequence",1
"Homo sapiens chromosome 5 clone CTD-2124B8, complete sequence",1
"Escherichia coli strain ST866 chromosome, complete genome",1
"Uncultured bacterium clone RW4915 16S ribosomal RNA gene, partial sequence",1
Xanthobacter autotrophicus strain GJ10 chromosome,2
Escherichia coli strain Colony167 chromosome,2
"Uncultured bacterium partial 16S rRNA gene, clone Pro125",1
"Paracoccus gahaiensis strain CUG 00006 16S ribosomal RNA gene, partial sequence",2
uncultured bacterium partial 16S rRNA gene,2
"Brucella melitensis ATCC 23457 chromosome II, complete sequence",1
"Rhodanobacter denitrificans strain Fe1 16S ribosomal RNA gene, partial sequence",1
"Propionibacterium acnes hdn-1, complete genome",3
"Uncultured bacterium clone MD255 16S ribosomal RNA gene, partial sequence",1
"Shigella flexneri strain AUSMDU00022017 genome assembly, chromosome: 1",1
"Uncultured bacterium clone ncd1345g04c1 16S ribosomal RNA gene, partial sequence",1
"Rubrobacter radiotolerans strain RSPS-4 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04I00BX 23S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JNFPP 23S ribosomal RNA gene, partial sequence",1
"Phacus hamelii strain ACOI1088 18S ribosomal RNA gene, partial sequence",1
"Chryseobacterium indoltheticum strain LG-L3 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04JJKJH 23S ribosomal RNA gene, partial sequence",1
"Sphingomonas sanguinis strain NP2-R2 chromosome, complete genome",1
Homo sapiens isolate CHM13 chromosome 15,2
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus04188",1
"Massilia antarctica strain P8398 chromosome, complete genome",1
"Uncultured bacterium clone F5K2Q4C04J34T6 23S ribosomal RNA gene, partial sequence",1
"Acinetobacter sp. strain BA9 16S ribosomal RNA gene, partial sequence",1
"Starkeya sp. SL25 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone Me03au130 16S ribosomal RNA gene, partial sequence",1
"Serratia sp. HRI chromosome, complete genome",1
"Uncultured bacterium clone nck330a10c1 16S ribosomal RNA gene, partial sequence",1
"Xanthobacter flavus strain DN1721 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Macaca fascicularis PDZ and LIM domain 5 (PDLIM5), transcript variant X17, mRNA",1
"Escherichia coli strain EH01-18-02 chromosome, complete genome",1
"Hygroaster sp. isolate 16 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04I3MOC 23S ribosomal RNA gene, partial sequence",1
"Bacillus thuringiensis MC28, complete genome",1
MAG: Oceanicola sp. isolate m2 chromosome,1
"Uncultured bacterium clone s99 hrb2 gene cluster, complete sequence",1
"Homo sapiens spermatogenesis associated 16 (SPATA16), RefSeqGene on chromosome 3",1
"Paracoccus carotinifaciens strain IDR 3L*-30 16S ribosomal RNA gene, partial sequence",1
"Weissella cibaria strain KH1006 16S ribosomal RNA gene, partial sequence",2
"Herbaspirillum seropedicae SmR1 strain SmR1 5S ribosomal RNA, complete sequence",1
"Herbaspirillum sp. strain CNPSo 3985 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone E03V1S7 16S ribosomal RNA gene, partial sequence",1
"Uncultured eukaryote clone F5K2Q4C04IDJVN 28S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone MD46 16S ribosomal RNA gene, partial sequence",1
"MACACA MULATTA BAC clone CH250-142D6 from chromosome 10, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04IYY3B 23S ribosomal RNA gene, partial sequence",1
"Human DNA sequence from clone RP5-1059A9 on chromosome 9. Contains two putative novel genes, ESTs, STSs and GSSs, complete sequence",1
"Aquabacterium commune strain S_WE.SI110 16S ribosomal RNA gene, partial sequence",1
"Aquirufa lenticrescens strain 9H-EGSE chromosome, complete genome",1
"Homo sapiens chromosome unknown clone VMRC53-132F10, complete sequence",1
"Uncultured bacterium clone ncd991b02c1 16S ribosomal RNA gene, partial sequence",1
"Synura petersenii strain Youngji101407A 28S ribosomal RNA gene, partial sequence",1
"Snodgrassella alvi strain wkB2 23S ribosomal RNA gene, complete sequence",1
"Homo sapiens chromosome 11, clone RP11-467K18, complete sequence",1
"Uncultured gamma proteobacterium DNA, fosmid clone: JFF004_H05",1
"Uncultured bacterium clone F5K2Q4C04I78JQ 23S ribosomal RNA gene, partial sequence",1
"Bacterium enrichment culture clone M1057 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nbw533e01c1 16S ribosomal RNA gene, partial sequence",1
Kluyvera georgiana strain Colony392 chromosome,1
"Pseudomonas monteilii strain SB3078 23S ribosomal RNA gene, complete sequence",1
"Uncultured bacterium clone F5K2Q4C04JUDGV 23S ribosomal RNA gene, partial sequence",1
"Acinetobacter calcoaceticus strain ACa13 chromosome, complete genome",1
"Enterobacter sp. strain PRW42 16S ribosomal RNA gene, partial sequence",1
"Azospira inquinata strain Azo-3 chromosome, complete genome",1
"Janthinobacterium sp. HH102 chromosome, complete genome",1
"Uncultured bacterium clone ncd1433b08c1 16S ribosomal RNA gene, partial sequence",1
"Methyloversatilis discipulorum strain S_WO.AB16.054 16S ribosomal RNA gene, partial sequence",2
"Euglena agilis strain SZ061802 large subunit ribosomal RNA gene, partial sequence; plastid",1
"Uncultured bacterium clone H6 16S ribosomal RNA gene, partial sequence",1
"Uncultured Rhodocyclaceae bacterium clone B6 16S ribosomal RNA gene, partial sequence",1
"Fraxinus pennsylvanica genome assembly, chromosome: 23",1
"Uncultured bacterium clone OTU-194 16S ribosomal RNA gene, partial sequence",1
"Acinetobacter soli strain ZA.SA.7.6 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone nck195e08c1 16S ribosomal RNA gene, partial sequence",1
"Corynebacterium coyleae strain FDAARGOS_1492 chromosome, complete genome",1
Uncultured bacterium clone S09_PE_34 genomic sequence,1
"Miltoncostaea oceani strain SCSIO 61214 chromosome, complete genome",1
"Uncultured bacterium clone 972 16S ribosomal RNA gene, partial sequence",1
"Uncultured alpha proteobacterium clone SGSH995 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone LIB048_068_0795 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain Samah 2021 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone BF_45 16S ribosomal RNA gene, partial sequence",1
Corynebacterium tuberculostearicum strain FDAARGOS_1198 chromosome,1
"Escherichia coli strain 811035 chromosome, complete genome",1
"Uncultured Rhodocyclaceae bacterium clone F5OHPNU07ICT63 16S ribosomal RNA gene, partial sequence",1
"Specaria josinae 28S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone F5K2Q4C04J453J 23S ribosomal RNA gene, partial sequence",1
"Acinetobacter haemolyticus strain w12 chromosome, complete genome",1
"Burkholderia thailandensis USAMRU Malaysia #20 chromosome 2, complete sequence",1
"Uncultured bacterium clone ECH_aai39e06 16S ribosomal RNA gene, partial sequence",1
"Weissella sp. strain MFRU7.2 16S ribosomal RNA gene, partial sequence",1
"PREDICTED: Camelus bactrianus mediator complex subunit 13 (MED13), transcript variant X2, mRNA",1
"Storeatula sp. CCMP1868 strain CCMP 1868 28S ribosomal RNA gene, partial sequence",1
"Gemmobacter fulvus strain con5 plasmid p5, complete sequence",1
"PREDICTED: Hordeum vulgare subsp. vulgare 5S ribosomal RNA (LOC123414949), rRNA",1
"Uncultured alpha proteobacterium clone B10 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacteria partial 16S rRNA gene, clone 00C18",1
"Uncultured bacterium clone sls0216 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone ABF-HL8-5 16S ribosomal RNA gene, complete sequence",1
Zygotorulaspora mrakii strain NRRL Y-6702 chromosome 4,1
"Uncultured bacterium clone SupB2020 16S ribosomal RNA gene, partial sequence",1
"Rhodobacter blasticus gene for 23S ribosomal RNA, partial sequence",1
"PREDICTED: Jaculus jaculus 28S ribosomal RNA (LOC123457586), rRNA",1
"Uncultured bacterium clone F5K2Q4C04H90HX 23S ribosomal RNA gene, partial sequence",2
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus02839",1
"Weissella soli strain T4 16S ribosomal RNA gene, partial sequence",2
"Uncultured bacterium clone GN405O8bO8 16S ribosomal RNA gene, partial sequence",1
Yersinia pseudotuberculosis strain 598 chromosome,1
Saccharomyces eubayanus strain 216.1 chromosome XII,1
"Thiobacillus denitrificans strain ATCC 25259 23S ribosomal RNA gene, complete sequence",1
"Rhodoplanes oryzae partial 16S rRNA gene, type strain JA793T",1
"Thermomicrobium carboxidum strain KI3 16S ribosomal RNA, partial sequence",1
MAG: Gemmatimonadota bacterium isolate bin741 chromosome,1
"Rhizobium rhizogenes strain A4 chromosome 1, complete sequence",1
"Stenotrophomonas maltophilia strain 2013-SM13 chromosome, complete genome",1
"Aromatoleum bremense strain PbN1 chromosome, complete genome",1
"Chlamydomonas sp. CCMP236 strain CCMP 236 26S ribosomal RNA gene, partial sequence",1
Paracoccus denitrificans strain R-1 chromosome 2,1
"Uncultured bacterium partial 16S rRNA gene, clone SX030465",1
"Burkholderia sp. strain 495 16S ribosomal RNA gene, partial sequence",1
"Escherichia coli strain Stbl4 chromosome, complete genome",1
Homo sapiens isolate CHM13 chromosome 21,1
"Aquincola sp. strain X07 16S ribosomal RNA gene, partial sequence",1
"Serratia marcescens SM39 DNA, complete genome",1
"MAG: Acidobacteriota bacterium isolate Kalu_18-Q3-R12-55_MAXAC.198_cln chromosome, complete genome",1
"Cupriavidus metallidurans strain ZM02 chromosome 2, complete sequence",1
"Advenella sp. strain 328 16S ribosomal RNA gene, partial sequence",1
"Uncultured bacterium clone nbw436a06c1 16S ribosomal RNA gene, partial sequence",1
"Roseibacterium elongatum strain DFL-43 23S ribosomal RNA, complete sequence",1
"Stutzerimonas stutzeri strain S116 chromosome, complete genome",1
"uncultured fungus genomic DNA sequence contains 18S rRNA gene, ITS1, 5.8S rRNA gene, ITS2, 28S rRNA gene, isolate consensus01956",1
"Bos taurus genome assembly, chromosome: 27",1
"Uncultured bacterium clone 8320 16S ribosomal RNA gene, partial sequence",1
"Phytolacca americana voucher ENC851198 small subunit ribosomal RNA gene, partial sequence; internal transcribed spacer 1, 5.8S ribosomal RNA gene, and internal transcribed spacer 2, complete sequence; and large subunit ribosomal RNA gene, partial sequence",1
